factor_name,universe,rank_ic_mean,abs_rank_ic_mean,icir,ic_positive_ratio,hl_sharpe,hl_annu_ret,hl_mdd,hl_avg_turnover,direction
drawup_drawdown_ratio_20d,CSI300,-0.016445046094025688,0.016445046094025688,-1.4443709396496993,0.4594222833562586,0.017428873342857462,0.003843381095294614,-0.3986429626407307,0.8251305673402385,1
drawup_drawdown_ratio_20d,CSI500,-0.02401341238060129,0.02401341238060129,-2.461237435456622,0.44566712517193946,0.44366761087173473,0.08571848662475211,-0.18726147575958524,0.8507675234724997,-1
drawup_drawdown_ratio_20d,CSI1000,-0.03342538626065457,0.03342538626065457,-3.7541713660526326,0.3892709766162311,1.1915490957495445,0.22604157299804706,-0.18094474436214777,0.866410750780784,-1
drawup_drawdown_ratio_20d,ALL,-0.038403726063481004,0.038403726063481004,-4.626265830921371,0.36795048143053644,1.9865179522985135,0.3687178016215603,-0.23006260782719606,0.8722371435718791,-1
