Date,TGD20,D1,model
2022-01-28,0.5,0.5,B
2022-02-07,0.5,0.5,B
2022-02-08,0.5,0.5,B
2022-02-09,0.5,0.5,B
2022-02-10,0.5,0.5,B
2022-02-11,0.5,0.5,B
2022-02-14,0.5,0.5,B
2022-02-15,0.5,0.5,B
2022-02-16,0.5,0.5,B
2022-02-17,0.5,0.5,B
2022-02-18,0.5,0.5,B
2022-02-21,0.5,0.5,B
2022-02-22,0.5,0.5,B
2022-02-23,0.5,0.5,B
2022-02-24,0.5,0.5,B
2022-02-25,0.5,0.5,B
2022-02-28,0.5,0.5,B
2022-03-01,0.5,0.5,B
2022-03-02,0.5,0.5,B
2022-03-03,0.5,0.5,B
2022-03-04,0.5,0.5,B
2022-03-07,0.39154859426940614,0.6084514057305939,B
2022-03-08,0.41066221166339734,0.5893377883366027,B
2022-03-09,0.4069253162308757,0.5930746837691242,B
2022-03-10,0.410865194013315,0.5891348059866849,B
2022-03-11,0.4287403356193492,0.5712596643806509,B
2022-03-14,0.4207312999578637,0.5792687000421365,B
2022-03-15,0.42003540638954207,0.5799645936104579,B
2022-03-16,0.43523443217864,0.5647655678213601,B
2022-03-17,0.45439089526301657,0.5456091047369834,B
2022-03-18,0.44529695446789247,0.5547030455321075,B
2022-03-21,0.4552801388120509,0.544719861187949,B
2022-03-22,0.4754727405657056,0.5245272594342945,B
2022-03-23,0.4735570198091547,0.5264429801908452,B
2022-03-24,0.4561283297357633,0.5438716702642367,B
2022-03-25,0.45629445511062044,0.5437055448893795,B
2022-03-28,0.4559607756761608,0.5440392243238392,B
2022-03-29,0.4611879286828682,0.5388120713171317,B
2022-03-30,0.46180790180441217,0.5381920981955878,B
2022-03-31,0.45341569152588845,0.5465843084741115,B
2022-04-01,0.4547676313237061,0.5452323686762939,B
2022-04-06,0.45246661699507823,0.5475333830049217,B
2022-04-07,0.46309175181854306,0.536908248181457,B
2022-04-08,0.4570233395432903,0.5429766604567098,B
2022-04-11,0.46084362634390824,0.5391563736560917,B
2022-04-12,0.4625140143557133,0.5374859856442867,B
2022-04-13,0.45820636444679835,0.5417936355532016,B
2022-04-14,0.45306305812147396,0.546936941878526,B
2022-04-15,0.45689877833244497,0.543101221667555,B
2022-04-18,0.4535584852844921,0.5464415147155078,B
2022-04-19,0.4520162508048357,0.5479837491951643,B
2022-04-20,0.4588245590683053,0.5411754409316947,B
2022-04-21,0.45294899497202257,0.5470510050279774,B
2022-04-22,0.4493316314676683,0.5506683685323317,B
2022-04-25,0.4530904069320294,0.5469095930679705,B
2022-04-26,0.45398912239940337,0.5460108776005966,B
2022-04-27,0.45617972230748466,0.5438202776925153,B
2022-04-28,0.4539791126270442,0.5460208873729557,B
2022-04-29,0.44786273043783037,0.5521372695621697,B
2022-05-05,0.4487233649039336,0.5512766350960664,B
2022-05-06,0.45332683397094414,0.5466731660290559,B
2022-05-09,0.4590770188774097,0.5409229811225904,B
2022-05-10,0.4590566335705531,0.540943366429447,B
2022-05-11,0.45247797333778045,0.5475220266622196,B
2022-05-12,0.4464825611251392,0.5535174388748609,B
2022-05-13,0.45092526102010144,0.5490747389798984,B
2022-05-16,0.4542261066658368,0.5457738933341632,B
2022-05-17,0.45204922263821956,0.5479507773617805,B
2022-05-18,0.46056248750495654,0.5394375124950435,B
2022-05-19,0.45836640097542736,0.5416335990245725,B
2022-05-20,0.46973946066614036,0.5302605393338596,B
2022-05-23,0.46824977846072485,0.5317502215392751,B
2022-05-24,0.46329413424800586,0.5367058657519942,B
