Date,TGD20,D1,FlowDensity20,model
2022-01-28,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-07,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-08,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-09,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-10,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-11,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-14,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-15,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-16,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-17,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-18,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-21,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-22,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-23,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-24,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-25,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-02-28,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-03-01,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-03-02,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-03-03,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-03-04,0.3333333333333333,0.3333333333333333,0.3333333333333333,C
2022-03-07,0.3903196288111882,0.6065416408339983,0.003138730354813468,C
2022-03-08,0.39121592773981834,0.5614305944595062,0.047353477800675496,C
2022-03-09,0.3723868926937221,0.5427365411170225,0.08487656618925536,C
2022-03-10,0.37840337918930317,0.5425881886119843,0.07900843219871247,C
2022-03-11,0.39442614165013734,0.5255389488290632,0.0800349095207995,C
2022-03-14,0.38448613888305655,0.5293658586307081,0.0861480024862355,C
2022-03-15,0.38256663327750395,0.5282295221368578,0.08920384458563821,C
2022-03-16,0.39061111495587764,0.5068618009634978,0.10252708408062472,C
2022-03-17,0.41988434812222325,0.5041754261810893,0.0759402256966873,C
2022-03-18,0.42635032515658533,0.5311013728143845,0.04254830202903016,C
2022-03-21,0.42743157387049496,0.5114004493883707,0.061167976741134326,C
2022-03-22,0.4421467760012689,0.48776305537037545,0.07009016862835574,C
2022-03-23,0.4370450722467771,0.4858534467592507,0.07710148099397217,C
2022-03-24,0.4118332255493382,0.49105571754243293,0.0971110569082289,C
2022-03-25,0.4158457691827883,0.49550821402959566,0.08864601678761608,C
2022-03-28,0.40173959963650974,0.47934408358329256,0.11891631678019765,C
2022-03-29,0.40610738176272615,0.47446072617225465,0.11943189206501913,C
2022-03-30,0.406053977351341,0.4732163334527292,0.12072968919592977,C
2022-03-31,0.4049320873203465,0.4881382119399654,0.10692970073968805,C
2022-04-01,0.39457182779637134,0.4730621035102149,0.13236606869341383,C
2022-04-06,0.39964978836181864,0.4836193266415671,0.1167308849966143,C
2022-04-07,0.40537198235467925,0.46998798845628736,0.12464002918903337,C
2022-04-08,0.39990099795628137,0.475111202418229,0.12498779962548962,C
2022-04-11,0.4074805236466012,0.47672509481738423,0.11579438153601448,C
