scheme,net_sharpe_15bp,net_annual_return_15bp,net_max_drawdown_15bp,daily_turnover
Daily,1.2799406854694688,0.1111854307469437,-0.08415017252371983,0.6459265465743658
Every5D,2.061090354423713,0.1800859167022436,-0.09446864343772704,0.3099768310510961
Every10D,1.9645818806160584,0.1704512210197086,-0.09293539473445497,0.2257721493516195
Every20D,1.4587707344279985,0.12243038883400889,-0.10785936189208027,0.1601202434147017
Buffer5_15,2.3235655273067133,0.21831335793246529,-0.08097790704173534,0.2965301401279726
