Date,unfiltered_c2c_lag1_gross_excess,unfiltered_c2c_lag1_net_excess_15bp,unfiltered_c2c_lag1_turnover,formation_filtered_c2c_lag1_gross_excess,formation_filtered_c2c_lag1_net_excess_15bp,formation_filtered_c2c_lag1_turnover,ex_post_execution_filtered_c2c_lag1_gross_excess,ex_post_execution_filtered_c2c_lag1_net_excess_15bp,ex_post_execution_filtered_c2c_lag1_turnover,next_open_o2o_lag2_gross_excess,next_open_o2o_lag2_net_excess_15bp,next_open_o2o_lag2_turnover
2022-01-28,0.003964612272104956,0.002464612272104956,1.0,0.003242699604826288,0.001742699604826288,1.0,0.0031595816561958163,0.0016595816561958163,1.0,0.0019017009946389156,0.0004017009946389158,0.9999999999999999
2022-02-07,0.0010943419068549093,0.0004490329823697833,0.43020594965675063,0.0023767491657498228,0.0017608071367643157,0.41062801932367143,0.0032145413742662183,0.0025680522701499956,0.4309927360774819,0.00321921877995034,0.002646755011834398,0.3816425120772946
2022-02-08,0.003165500627979937,0.0025613816348449255,0.40274599542334094,0.0040064234003226555,0.003383234994525554,0.4154589371980676,0.004293156678802075,0.0036815061933651813,0.4077669902912622,0.0013347893417097194,0.0007188473127242122,0.41062801932367143
2022-02-09,-0.002026782468742756,-0.0025841219182840404,0.3715596330275229,-0.001897924041649417,-0.0024717739205840417,0.3825665859564164,-0.0012867421688315447,-0.00184742178048203,0.37378640776699024,0.004201681494351935,0.0035784930885548335,0.4154589371980676
2022-02-10,0.0013383989226641684,0.000720549952412452,0.4118993135011442,0.0015212101318235489,0.0009110406402981253,0.406779661016949,0.0012325322126038557,0.0006093438068067543,0.4154589371980676,-0.002572735185343728,-0.0031465850642783525,0.3825665859564164
2022-02-11,-0.0005308968994111075,-0.0011487458696628238,0.41189931350114417,-0.00012496165257866107,-0.0007177327369160103,0.39518072289156614,0.00035720641671269093,-0.00021387792063670653,0.38072289156626493,0.0017466701018441517,0.0011365006103187282,0.406779661016949
2022-02-14,-0.0016969783045276167,-0.002280502331987571,0.38901601830663624,-0.0018851515500746918,-0.0025068382970626435,0.41445783132530123,0.00012551664821171694,-0.0005178568457641864,0.4289156626506022,0.0005816910966801141,-1.1079987657235178e-05,0.39518072289156614
2022-02-15,-0.003046551513543074,-0.003657535495236438,0.4073226544622426,-0.003465155782311517,-0.0041229871076127215,0.43855421686746987,-0.0029825499965371515,-0.003649216663203818,0.4444444444444444,-0.004067428691149701,-0.0046891154381376535,0.41445783132530123
2022-02-16,-0.0002328618147418443,-0.0007820608994100366,0.3661327231121282,5.463193420538262e-05,-0.0005092234874813644,0.3759036144578313,0.0008081160617572809,0.0002573914240761216,0.36714975845410625,-0.0034718423368026025,-0.004129673662103807,0.43855421686746987
2022-02-17,-0.0022851434432038754,-0.0028480725049887723,0.37528604118993136,-0.002277804823762038,-0.002848889161111436,0.3807228915662651,-0.001454009267107672,-0.0020250936044570694,0.38072289156626493,-0.00010665817541599069,-0.0006705135971027377,0.3759036144578313
