dimension,regime,n_days,annual_return,sharpe,max_drawdown,calmar,positive_day_ratio,long_annual_return,universe_annual_return
direction,bear,117,0.17112714586970446,2.3371827231770097,-0.047782138052827355,3.581404115498313,0.5470085470085471,-0.495963622798465,-0.6670907686681695
direction,bull,234,0.0444021611290263,1.2751734381061097,-0.023827378814991616,1.863493314719516,0.5085470085470085,0.7541862226611047,0.7097840615320795
direction,sideways,599,0.08887756247293374,2.66063417363401,-0.022189726875076643,4.005347293064722,0.5509181969949917,0.18091330240764728,0.09203573993471356
volatility,high_vol,468,0.09723250072388549,1.9753598296870563,-0.05040671426100322,1.9289593092781432,0.5149572649572649,0.29488451749112987,0.1976520167672444
volatility,low_vol,482,0.07913865426028309,2.60212518730614,-0.029812331712877536,2.6545610394539816,0.5643153526970954,0.18425922446392146,0.1051205702036384
