industry_code,universe_weight,g10_weight,active_weight,industry
b10m000000000000,0.014644051402753907,0.004609779755079532,-0.010034271647674398,非银行金融
b10l000000000000,0.008780251620141991,0.0017146414771445496,-0.007065610142997422,银行
b10o000000000000,0.024232334929243662,0.018187837658051122,-0.006044497271192531,交通运输
b10r000000000000,0.06471645554020093,0.05868011298670179,-0.006036342553499139,计算机
b103000000000000,0.02475968238276731,0.01890314832044881,-0.005856534062318501,有色金属
b10p000000000000,0.08840750301663383,0.08341298220127713,-0.0049945208153567506,电子
b10n000000000000,0.021950430917396825,0.018403840169297,-0.003546590748099835,房地产
b105000000000000,0.010899896300699532,0.007608648974139017,-0.0032912473265605036,钢铁
b102000000000000,0.007327416219950085,0.004527635503525718,-0.0027997807164243595,煤炭
b10s000000000000,0.028203690975377,0.026301080008627773,-0.001902610966749107,传媒
b104000000000000,0.04392026153310239,0.0425232261572923,-0.0013970353758100162,电力及公用事业
b101000000000000,0.00989580937015918,0.00891510271895282,-0.0009807066512063536,石油石化
b10c000000000000,0.022941627082760013,0.02200873759618908,-0.0009328894865709374,国防军工
b10j000000000000,0.025571818004693995,0.025176068528072998,-0.0003957494766209947,食品饮料
b10k000000000000,0.019484170859553302,0.01915969945774862,-0.00032447140180467065,农林牧渔
b10u000000000000,0.0021270048606319004,0.002051155171345589,-7.584968928631437e-05,综合金融
b108000000000000,0.016821804814128483,0.016751331930751793,-7.047288337661207e-05,建材
b10b000000000000,0.05947451540737046,0.05949706316798601,2.2547760615421734e-05,电力设备及新能源
b10t000000000000,0.006109905073156664,0.006312889969153707,0.00020298489599706264,综合
b10g000000000000,0.015855664686845766,0.016104756032450998,0.00024909134560527124,家电
b10f000000000000,0.010713616133633641,0.01182755805552855,0.0011139419218949833,消费者服务
b10e000000000000,0.020822059661601822,0.022347178387933216,0.0015251187263314013,商贸零售
b10i000000000000,0.09369779051223483,0.09546963165691383,0.0017718411446792075,医药
b10q000000000000,0.023943197220379103,0.02597064010266884,0.0020274428822897764,通信
b109000000000000,0.030652030077235853,0.0341142293764254,0.003462199299189546,轻工制造
b10h000000000000,0.019385012781596166,0.02286420611513095,0.0034791933335348254,纺织服装
b107000000000000,0.029935039956942112,0.033464986448289206,0.0035299464913470997,建筑
b10d000000000000,0.043246758079892256,0.04800407907963903,0.004757320999746729,汽车
b106000000000000,0.09361858259277529,0.10382366026463644,0.010205077671861127,基础化工
b10a000000000000,0.1178616179861417,0.14126409272859788,0.023402474742455975,机械
