Date,beta_stripped_return
2022-02-07,0.0018902640410020984
2022-02-08,0.0039285342315586586
2022-02-09,-0.0012322999008727593
2022-02-10,0.0011351371374535494
2022-02-11,-0.0016926610708235153
2022-02-14,-0.0016957875155999673
2022-02-15,-0.0027113137356624194
2022-02-16,0.00046969655120455457
2022-02-17,-0.0023869859999064765
2022-02-18,0.0008324385257494652
2022-02-21,-6.068428086459035e-05
2022-02-22,-0.00012216784003619974
2022-02-23,0.0018767914001796872
2022-02-24,-0.0001998205144446881
2022-02-25,0.0014765046510923398
2022-02-28,-0.0016201399892038413
2022-03-01,-0.0011089292404431999
2022-03-02,-0.0008030353815080844
2022-03-03,0.0007723906160381593
2022-03-04,0.0017209012744669877
2022-03-07,0.00032976683529760756
2022-03-08,0.001994210793117724
2022-03-09,-0.004598019499812523
2022-03-10,-9.275679908086684e-05
2022-03-11,-8.732691824003217e-05
2022-03-14,-0.0002743465473420137
2022-03-15,-0.002532826138897472
2022-03-16,-0.0009076274717470002
2022-03-17,0.00013089177899285043
2022-03-18,0.0021958226148440594
2022-03-21,7.193832067209187e-05
2022-03-22,0.004782266130693371
2022-03-23,5.0279348341426746e-05
2022-03-24,-0.00016991709322453953
2022-03-25,0.0019343516171466675
2022-03-28,0.0013438478109741433
2022-03-29,-0.0013886473329738878
2022-03-30,-0.0013806452234416868
2022-03-31,0.004019560122661603
2022-04-01,0.0016506546215655467
2022-04-06,0.00804861560217631
2022-04-07,0.00013559673328431346
2022-04-08,0.00018829420010545248
2022-04-11,0.0001914067203735055
2022-04-12,0.001745336034143695
2022-04-13,0.0027398296643884254
2022-04-14,-0.0019785494750544407
2022-04-15,-0.00021387226189917286
2022-04-18,0.0019300773198069237
2022-04-19,0.000694275149902268
2022-04-20,0.004959769688553031
2022-04-21,0.0012923877545767057
2022-04-22,0.002777284812731132
2022-04-25,-0.0032057286481566305
2022-04-26,-0.003199454897341858
2022-04-27,-0.005143084619094858
2022-04-28,-0.0003556475599589687
2022-04-29,0.0022208312430823662
2022-05-05,0.0009316354917060267
2022-05-06,0.001778880299827144
2022-05-09,0.0012929069934759507
2022-05-10,-0.001350648896275208
2022-05-11,-0.0008763886654899328
2022-05-12,0.0005930343350861976
2022-05-13,-0.0011867813961569749
2022-05-16,-0.0015088118453134127
2022-05-17,-0.0010520277753900274
2022-05-18,0.0010700330032774744
2022-05-19,-0.0003875303702465128
2022-05-20,-0.0003980692438587882
2022-05-23,0.0017894439706147274
2022-05-24,-0.001273392338999313
2022-05-25,0.0013977073170553106
2022-05-26,0.0011163312546358627
2022-05-27,-0.000994750556864691
2022-05-30,0.004438272529102012
2022-05-31,0.005084487788741623
2022-06-01,0.005457707534302649
2022-06-02,0.008806078783236922
2022-06-06,0.004127328037541265
2022-06-07,-0.0027883393903488617
2022-06-08,-0.002943799741149354
2022-06-09,-0.0033175918255872183
2022-06-10,-0.0009334858794360287
2022-06-13,-0.001368788900362794
2022-06-14,-0.002266395356126862
2022-06-15,-0.0013578128786866438
2022-06-16,0.0014669207740661376
2022-06-17,0.0014617078242573087
2022-06-20,-0.00038843995133620163
2022-06-21,-0.00176198375726168
2022-06-22,-0.0018714985918861504
2022-06-23,0.002649550583862903
2022-06-24,0.002983778528134891
2022-06-27,-0.0020002922488616334
2022-06-28,-0.001798379515988869
2022-06-29,-0.002214461162444264
2022-06-30,-0.000755841511636034
2022-07-01,0.0016572849885575017
2022-07-04,-0.0009031934481271544
2022-07-05,-0.001103626029369473
2022-07-06,0.0017348216958312486
2022-07-07,0.0022921905187186457
2022-07-08,0.002213620428540483
2022-07-11,-0.0025733027255832415
2022-07-12,-0.0006649680775127377
2022-07-13,0.0029353768708745513
2022-07-14,0.0022032598415385792
2022-07-15,-0.0014879556254646271
2022-07-18,0.0030017934052161306
2022-07-19,0.0015239891383045448
2022-07-20,0.0026712088408285765
2022-07-21,0.0007511109657632824
2022-07-22,0.0006032438883957346
2022-07-25,0.00043511112718326583
2022-07-26,-0.0014119400610983091
2022-07-27,3.875707618800246e-05
2022-07-28,0.0013535747371170963
2022-07-29,-0.001436639394211083
2022-08-01,0.002136502200285317
2022-08-02,-0.0007651443631884192
2022-08-03,0.0023551224684557935
2022-08-04,0.002711142623327365
2022-08-05,0.004962513262236614
2022-08-08,-0.0016167156684063835
2022-08-09,-0.001092967305439934
2022-08-10,0.002734456642778103
2022-08-11,0.0019286869136240087
2022-08-12,-0.0029984102207887744
2022-08-15,0.000990678940141136
2022-08-16,-0.00080066239244836
2022-08-17,-0.0013185224177112082
2022-08-18,0.0029025447550970825
2022-08-19,-0.0006158824690965514
2022-08-22,0.0019650979765791707
2022-08-23,-0.0024632786378369284
2022-08-24,-0.002010616588076001
2022-08-25,0.002158877390938483
2022-08-26,0.0025505011941707764
2022-08-29,-0.0008946376431808898
2022-08-30,0.0010806774526919097
2022-08-31,-0.00043988049812182517
2022-09-01,0.0010973990574061
2022-09-02,0.0009813119900280581
2022-09-05,-0.0012085769694912475
2022-09-06,-0.0006255039849332195
2022-09-07,-0.0006306404835985796
2022-09-08,-0.00021679692407884296
2022-09-09,-0.00017346513924606797
2022-09-13,0.00199907336890304
2022-09-14,0.00187882530257962
2022-09-15,0.0027671620995481476
2022-09-16,0.0016961435691088683
2022-09-19,-0.002024186263171324
2022-09-20,-0.002191974848079127
2022-09-21,0.002902000509486668
2022-09-22,-0.0008357056943656535
2022-09-23,0.0001285072728576392
2022-09-26,-0.004928509055689194
2022-09-27,0.0023114661752040924
2022-09-28,0.0010643081477953176
2022-09-29,-0.0008218256547702484
2022-09-30,0.0010436443412010186
2022-10-10,0.0010167171368918107
2022-10-11,-0.0004978702989391435
2022-10-12,0.0012068786980338163
2022-10-13,0.0002827922901745515
2022-10-14,0.0006133344763757549
2022-10-17,0.0011882434304912922
2022-10-18,-0.000724583150907896
2022-10-19,-0.0023340682135953453
2022-10-20,0.0032598443501092346
2022-10-21,-0.00042185128168008203
2022-10-24,-0.002679386047435891
2022-10-25,0.00030552098235259954
2022-10-26,0.002939659510409129
2022-10-27,0.007244751353372198
2022-10-28,-0.002574907689736103
2022-10-31,0.004685569203318335
2022-11-01,0.0007225944911642551
2022-11-02,-0.0014087049611121102
2022-11-03,-0.0016111393964545685
2022-11-04,-0.0016150869493266329
2022-11-07,0.0019508777270720486
2022-11-08,0.0004680360738248702
2022-11-09,-0.000488679390674938
2022-11-10,0.003453190675307278
2022-11-11,0.0009504016086947335
2022-11-14,0.0018731434242250512
2022-11-15,-0.002103119768526965
2022-11-16,0.00107946695890974
2022-11-17,0.0015154190625417492
2022-11-18,0.0007919448375483563
2022-11-21,-0.0017692893111333323
2022-11-22,0.0033321109967620437
2022-11-23,3.948431202607794e-05
2022-11-24,1.4401611844067855e-05
2022-11-25,0.0019342662758230662
2022-11-28,-0.0016479414686335842
2022-11-29,0.002153633138140168
2022-11-30,0.00022693807839992543
2022-12-01,0.000497183414939031
2022-12-02,0.00012639441757271094
2022-12-05,0.003128674700651024
2022-12-06,-0.0005051461923624941
2022-12-07,-0.00012248520982118558
2022-12-08,-0.00021887565044778623
2022-12-09,-0.0012970818411087153
2022-12-12,-0.0011746170418164299
2022-12-13,-0.00041140659507077305
2022-12-14,0.002168315399848977
2022-12-15,-0.0010037578985188874
2022-12-16,-0.00026999230348541577
2022-12-19,-0.0005790784181865412
2022-12-20,0.0013771606917214801
2022-12-21,-0.000810211140030488
2022-12-22,0.0015820198872929531
2022-12-23,0.001383195745898024
2022-12-26,-0.0028467656162848836
2022-12-27,0.001012433148331591
2022-12-28,0.0003320083410274545
2022-12-29,0.0009224037487989517
2022-12-30,0.0010802284287049647
2023-01-03,-0.0016241626731599394
2023-01-04,0.002767910902522309
2023-01-05,0.0009815833551713449
2023-01-06,-0.0014914321828277464
2023-01-09,-0.00043327235788363696
2023-01-10,3.997188629669183e-05
2023-01-11,1.811709579444161e-05
2023-01-12,0.0012352948662366736
2023-01-13,0.002394476916547231
2023-01-16,0.0007226706484433059
2023-01-17,0.0010904558316497137
2023-01-18,0.0006421314733198345
2023-01-19,0.0032612279454550227
2023-01-20,-0.0013724310489244846
2023-01-30,-0.001242649953963476
2023-01-31,-0.0011742061387837596
2023-02-01,0.002049576777386198
2023-02-02,-0.0004975531078253012
2023-02-03,0.0013340942472560282
2023-02-06,0.0036509173438308094
2023-02-07,0.0024389051867868645
2023-02-08,0.0003151848186000875
2023-02-09,0.0026654916013058635
2023-02-10,0.002616448630393474
2023-02-13,-0.00031431003374676227
2023-02-14,0.002606336599880567
2023-02-15,0.0021099715711390106
2023-02-16,0.0012508077607330075
2023-02-17,0.0013030837279968434
2023-02-20,0.0013743583246335518
2023-02-21,0.001596026156444155
2023-02-22,0.0014897344214991881
2023-02-23,-0.00023507338842825064
2023-02-24,0.002444434551190002
2023-02-27,-0.00012837277099218142
2023-02-28,0.0006206634903599753
2023-03-01,0.0009514316299916517
2023-03-02,0.0036123359634132805
2023-03-03,-0.0004982783296564167
2023-03-06,0.0015443596525676706
2023-03-07,0.002300181199270189
2023-03-08,0.0005258349276811621
2023-03-09,-0.00011563574952376272
2023-03-10,0.00027248410885629196
2023-03-13,0.0014077829612346754
2023-03-14,4.0290311188243694e-05
2023-03-15,0.0023330393816495317
2023-03-16,0.0009790309440694984
2023-03-17,-0.0004232441967116987
2023-03-20,0.0009454957940029252
2023-03-21,-0.0004013346386771994
2023-03-22,0.002233986405939417
2023-03-23,0.0009114182701225647
2023-03-24,-0.0010150399813183518
2023-03-27,-0.0012626931388631532
2023-03-28,0.0030399597575599914
2023-03-29,-0.0007341148586921674
2023-03-30,0.0013434846439663395
2023-03-31,-0.0005385802503418205
2023-04-03,-0.0027413566912437024
2023-04-04,-0.002623649658659055
2023-04-06,0.00022018731157716289
2023-04-07,0.0012201935964196182
2023-04-10,0.0027469180708455734
2023-04-11,-0.0023922813877714512
2023-04-12,-0.0011662669262681603
2023-04-13,0.00030571918302889963
