portfolio,year,n_days,annual_return,sharpe,max_drawdown,calmar,positive_day_ratio
raw_long_minus_universe,2022,223,0.11883122676375579,2.2853213449019054,-0.02971845855174069,3.9985662969991265,0.5381165919282511
raw_long_minus_universe,2023,242,0.0962730997764546,1.9729334905052833,-0.04928009040431518,1.953590161596467,0.5495867768595041
raw_long_minus_universe,2024,242,0.11203414310607772,0.9596778335674031,-0.13079067758469176,0.8565911972856896,0.48760330578512395
raw_long_minus_universe,2025,243,0.046741286805126375,0.778236487224756,-0.05707082514399141,0.8190049239203516,0.5102880658436214
size_industry_long_minus_universe,2022,223,0.10100792090538105,3.0270152550050224,-0.019799829984272908,5.101453951150696,0.5560538116591929
size_industry_long_minus_universe,2023,242,0.10720921830477055,3.883547061728117,-0.022189726875076574,4.83147985138959,0.5867768595041323
size_industry_long_minus_universe,2024,242,0.09429433518819774,1.6835246291400952,-0.05040671426100374,1.8706701392982261,0.512396694214876
size_industry_long_minus_universe,2025,243,0.050868376070109037,1.2705528541875473,-0.029812331712877525,1.7062863971869833,0.5061728395061729
industry_matched_long_minus_universe,2022,223,0.08723979898404727,2.6492521016478343,-0.018094883113452476,4.821241366250641,0.5605381165919282
industry_matched_long_minus_universe,2023,242,0.11659994765095465,4.361563866929991,-0.019136156664833686,6.093174804804412,0.6322314049586777
industry_matched_long_minus_universe,2024,242,0.09294496986966387,1.6138558954011635,-0.057320030448139,1.6215094294787051,0.47107438016528924
industry_matched_long_minus_universe,2025,243,0.04499680468036713,1.1380221090253984,-0.02759593398816018,1.6305592229519268,0.51440329218107
raw_high_minus_low,2022,224,0.4043609292100133,3.9908205375643893,-0.04156545635387078,9.72829278638143,0.5758928571428571
raw_high_minus_low,2023,242,0.39563567758291057,4.189674022129857,-0.05331409717370305,7.420845490337895,0.6570247933884298
raw_high_minus_low,2024,242,0.406626152929883,2.0944794801211963,-0.1898727748951062,2.1415716558338636,0.5247933884297521
raw_high_minus_low,2025,243,0.2713097366771357,2.3180617394382654,-0.07180806789808448,3.7782625910809813,0.5555555555555556
