Date,nav,high_water_mark,drawdown
2022-02-07,1.001094341906855,1.001094341906855,0.0
2022-02-08,1.004263306674828,1.004263306674828,0.0
2022-02-09,1.002227883410858,1.004263306674828,-0.0020267824687426605
2022-02-10,1.003569264130279,1.004263306674828,-0.0006910961895513212
2022-02-11,1.003036472319608,1.004263306674828,-0.0012216261881381474
2022-02-14,1.0013343411874316,1.004263306674828,-0.002916531419528301
2022-02-15,0.9982837245347244,1.004263306674828,-0.005954197569860931
2022-02-16,0.998051262375002,1.004263306674828,-0.006185672879351345
2022-02-17,0.9957705720768044,1.004263306674828,-0.008456681172733127
2022-02-18,0.9961996916924404,1.004263306674828,-0.008029383259144263
2022-02-21,0.9954057500887934,1.004263306674828,-0.008819954415503428
2022-02-22,0.9959302775401616,1.004263306674828,-0.008297653692294737
2022-02-23,0.9968379277171596,1.004263306674828,-0.007393856679135613
2022-02-24,0.9979494839488121,1.004263306674828,-0.0062870192349469
2022-02-25,0.9988247234167783,1.004263306674828,-0.005415495340616694
2022-02-28,0.9971712917233619,1.004263306674828,-0.007061907872496276
2022-03-01,0.9956086594625593,1.004263306674828,-0.008617906434244649
2022-03-02,0.9945908729629824,1.004263306674828,-0.009631372218379286
2022-03-03,0.995511458113431,1.004263306674828,-0.008714695143423046
2022-03-04,0.9978496616962738,1.004263306674828,-0.006386417721255033
2022-03-07,0.9990664098193847,1.004263306674828,-0.005174834947072493
2022-03-08,1.002859223483203,1.004263306674828,-0.0013981225663557417
2022-03-09,0.9990563643779141,1.004263306674828,-0.005184837743553938
2022-03-10,0.9979630418855784,1.004263306674828,-0.006273518854442939
2022-03-11,0.9974501456920938,1.004263306674828,-0.0067842376968776374
2022-03-14,0.9986965932108753,1.004263306674828,-0.005543081607137901
2022-03-15,0.9990609990954997,1.004263306674828,-0.005180222701308801
2022-03-16,0.9964224773175551,1.004263306674828,-0.007807543405358941
2022-03-17,0.9954713950963319,1.004263306674828,-0.008754588084679438
2022-03-18,0.9969097963670518,1.004263306674828,-0.007322293126614587
2022-03-21,0.9962606943706085,1.004263306674828,-0.007968639550036682
2022-03-22,1.0011393066607355,1.004263306674828,-0.0031107379840814575
2022-03-23,1.000993957020036,1.004263306674828,-0.003255470585316167
2022-03-24,1.0014934695634965,1.004263306674828,-0.002758078576526657
2022-03-25,1.0036883468467943,1.004263306674828,-0.0005725190039428396
2022-03-28,1.0052617347775572,1.0052617347775572,0.0
2022-03-29,1.004384832684079,1.0052617347775572,-0.0008723122179441489
2022-03-30,1.0020470091293936,1.0052617347775572,-0.0031978991509857835
2022-03-31,1.0061979730346686,1.0061979730346686,0.0
2022-04-01,1.007941137528153,1.007941137528153,0.0
2022-04-06,1.0155114653827726,1.0155114653827726,0.0
2022-04-07,1.0169660125805702,1.0169660125805702,0.0
2022-04-08,1.0175403166779993,1.0175403166779993,0.0
2022-04-11,1.019432032673091,1.019432032673091,0.0
2022-04-12,1.0201872694738514,1.0201872694738514,0.0
2022-04-13,1.0241143423876826,1.0241143423876826,0.0
2022-04-14,1.0215531144217516,1.0241143423876826,-0.0025009199265383364
2022-04-15,1.0222927341084218,1.0241143423876826,-0.0017787157193930314
2022-04-18,1.0237966375599792,1.0241143423876826,-0.00031022398042268584
2022-04-19,1.0242532560356121,1.0242532560356121,0.0
2022-04-20,1.0299072014383264,1.0299072014383264,0.0
2022-04-21,1.0334354327207944,1.0334354327207944,0.0
2022-04-22,1.0368252715328545,1.0368252715328545,0.0
2022-04-25,1.0379654064573154,1.0379654064573154,0.0
2022-04-26,1.0366681424354565,1.0379654064573154,-0.001249814313452502
2022-04-27,1.0294496810451164,1.0379654064573154,-0.008204247809437182
2022-04-28,1.0300320998403474,1.0379654064573154,-0.007643132003835484
2022-04-29,1.0296603901325134,1.0379654064573154,-0.008001245776723787
2022-05-05,1.0295915652272485,1.0379654064573154,-0.00806755329028519
2022-05-06,1.032056591834387,1.0379654064573154,-0.005692689357630787
2022-05-09,1.0324451109827957,1.0379654064573154,-0.005318380978958648
2022-05-10,1.0300340068280895,1.0379654064573154,-0.00764129476751696
2022-05-11,1.0289071147656152,1.0379654064573154,-0.00872696877501633
2022-05-12,1.0290198283916698,1.0379654064573154,-0.008618377847656511
2022-05-13,1.0273826802540569,1.0379654064573154,-0.010195644418804384
2022-05-16,1.025715677531137,1.0379654064573154,-0.011801673591404271
2022-05-17,1.0246681124385781,1.0379654064573154,-0.012810922152138304
2022-05-18,1.0253554851374609,1.0379654064573154,-0.012148691316113736
2022-05-19,1.0245451811257176,1.0379654064573154,-0.012929357036476241
2022-05-20,1.023426774453801,1.0379654064573154,-0.014006856021470115
2022-05-23,1.0244644965676257,1.0379654064573154,-0.013007090415247724
2022-05-24,1.0256181613715396,1.0379654064573154,-0.011895622926315297
2022-05-25,1.0258809269207743,1.0379654064573154,-0.01164246848821937
2022-05-26,1.0267225526645545,1.0379654064573154,-0.010831626683141526
2022-05-27,1.0256494913386485,1.0379654064573154,-0.011865438907740167
2022-05-30,1.0296034628685562,1.0379654064573154,-0.008056090826089601
2022-05-31,1.0340823693710137,1.0379654064573154,-0.0037410081898151537
2022-06-01,1.039279013489296,1.039279013489296,0.0
2022-06-02,1.047742043650607,1.047742043650607,0.0
2022-06-06,1.0509820736818674,1.0509820736818674,0.0
2022-06-07,1.0483448800220627,1.0509820736818674,-0.002509266072032834
2022-06-08,1.045372475168681,1.0509820736818674,-0.005337482582870701
2022-06-09,1.0430478932784293,1.0509820736818674,-0.007549301365000982
2022-06-10,1.041023053583462,1.0509820736818674,-0.009475918141511497
2022-06-13,1.0393609218457498,1.0509820736818674,-0.011057421555636604
2022-06-14,1.0369800136777538,1.0509820736818674,-0.013322834284947072
2022-06-15,1.0356186565543426,1.0509820736818674,-0.014618153356034558
2022-06-16,1.036642424702573,1.0509820736818674,-0.013644047161583628
2022-06-17,1.0378587066511515,1.0509820736818674,-0.01248676581584418
2022-06-20,1.0367700287170598,1.0509820736818674,-0.013522633088325686
2022-06-21,1.0351769592375815,1.0509820736818674,-0.015038424384267945
2022-06-22,1.0339975927918847,1.0509820736818674,-0.016160580960702275
2022-06-23,1.0355754103490795,1.0509820736818674,-0.014659301731773766
2022-06-24,1.0380055344268801,1.0509820736818674,-0.012347060506490815
2022-06-27,1.0354463322982872,1.0509820736818674,-0.014782118337332228
2022-06-28,1.0327483649775213,1.0509820736818674,-0.017349210001716298
2022-06-29,1.0316904855857778,1.0509820736818674,-0.01835577273787936
2022-06-30,1.0303668527226728,1.0509820736818674,-0.019615197514239235
2022-07-01,1.0321635470967114,1.0509820736818674,-0.017905658960699178
2022-07-04,1.0308284291263343,1.0509820736818674,-0.019176011713434415
2022-07-05,1.0301728073064491,1.0509820736818674,-0.019799829984271655
2022-07-06,1.0324471555395272,1.0509820736818674,-0.017635808075591175
2022-07-07,1.0344174688995056,1.0509820736818674,-0.015761072616901628
2022-07-08,1.0365762039319366,1.0509820736818674,-0.013707055629848308
2022-07-11,1.0343879455540512,1.0509820736818674,-0.015789163814833196
2022-07-12,1.03464006135817,1.0509820736818674,-0.015549277892482838
2022-07-13,1.0369518985913124,1.0509820736818674,-0.013349585537081099
2022-07-14,1.0387984421650431,1.0509820736818674,-0.011592615917930704
2022-07-15,1.0382450437641173,1.0509820736818674,-0.012119169524108853
2022-07-18,1.039899133261732,1.0509820736818674,-0.010545318229176703
2022-07-19,1.0408888807520291,1.0509820736818674,-0.009603582385072529
2022-07-20,1.0430987792415396,1.0509820736818674,-0.007500883828313598
2022-07-21,1.0440912644961284,1.0509820736818674,-0.006556543026084771
2022-07-22,1.0448724679729728,1.0509820736818674,-0.005813234937006029
2022-07-25,1.0457836536405967,1.0509820736818674,-0.004946249961295002
2022-07-26,1.0436529484957726,1.0509820736818674,-0.006973596762139711
2022-07-27,1.0431616783483368,1.0509820736818674,-0.007441035893346548
2022-07-28,1.0440748051584368,1.0509820736818674,-0.006572203938010723
2022-07-29,1.0429075077009178,1.0509820736818674,-0.00768287698063419
2022-08-01,1.0447845178528656,1.0509820736818674,-0.005896918686053354
2022-08-02,1.0462684868812984,1.0509820736818674,-0.004484935489009856
2022-08-03,1.0489509479242956,1.0509820736818674,-0.0019325979085982326
2022-08-04,1.0509490921250837,1.0509820736818674,-3.138165493932199e-05
2022-08-05,1.0553504568419951,1.0553504568419951,0.0
2022-08-08,1.0528217704196885,1.0553504568419951,-0.0023960632280137784
2022-08-09,1.05144334553939,1.0553504568419951,-0.0037021932167412563
2022-08-10,1.0541365086856849,1.0553504568419951,-0.0011502796520720393
2022-08-11,1.0553625645313889,1.0553625645313889,0.0
2022-08-12,1.0524711508004565,1.0553625645313889,-0.0027397349764971546
2022-08-15,1.0532575456168465,1.0553625645313889,-0.001994593124001076
2022-08-16,1.0519679774401591,1.0553625645313889,-0.0032165126993461968
2022-08-17,1.0504250051356492,1.0553625645313889,-0.0046785432435081376
2022-08-18,1.0533418123206364,1.0553625645313889,-0.0019147469113136584
2022-08-19,1.0534691781310708,1.0553625645313889,-0.0017940624994206011
2022-08-22,1.0551888233124465,1.0553625645313889,-0.0001646270436166386
2022-08-23,1.0523678242597339,1.0553625645313889,-0.0028376411787780498
2022-08-24,1.0520729058476974,1.0553625645313889,-0.0031170886615181637
2022-08-25,1.054558432062329,1.0553625645313889,-0.0007619490174137766
2022-08-26,1.0575518263866321,1.0575518263866321,0.0
2022-08-29,1.056118016984416,1.0575518263866321,-0.0013557816897873387
2022-08-30,1.057438914600011,1.0575518263866321,-0.00010676714256829811
2022-08-31,1.0585641863884558,1.0585641863884558,0.0
2022-09-01,1.0599545777231592,1.0599545777231592,0.0
2022-09-02,1.0601702376304183,1.0601702376304183,0.0
2022-09-05,1.0587364263046002,1.0601702376304183,-0.0013524349910282174
2022-09-06,1.0572893775183871,1.0601702376304183,-0.0027173561469431284
2022-09-07,1.0563821199083558,1.0601702376304183,-0.003573122115302252
2022-09-08,1.0567163371059656,1.0601702376304183,-0.0032578735016863813
2022-09-09,1.0565328237881386,1.0601702376304183,-0.003430971473420752
2022-09-13,1.058461535760943,1.0601702376304183,-0.0016117240503698005
2022-09-14,1.0609190410324085,1.0609190410324085,0.0
2022-09-15,1.0652758702193255,1.0652758702193255,0.0
2022-09-16,1.068514630341377,1.068514630341377,0.0
2022-09-19,1.0671382384543524,1.068514630341377,-0.00128813574277864
2022-09-20,1.0639132450831097,1.068514630341377,-0.004306338095527273
2022-09-21,1.0668220913601079,1.068514630341377,-0.0015840110497395976
2022-09-22,1.0661456555880846,1.068514630341377,-0.0022170728280394014
2022-09-23,1.0675183024643295,1.068514630341377,-0.000932441960789232
2022-09-26,1.063348979596388,1.068514630341377,-0.004834422101771985
2022-09-27,1.0643398980034333,1.068514630341377,-0.003907042748314993
2022-09-28,1.0670726809734858,1.068514630341377,-0.001349489587644248
2022-09-29,1.0664741162531857,1.068514630341377,-0.001909673513351362
2022-09-30,1.0683281443162596,1.068514630341377,-0.00017452828423880629
2022-10-10,1.0705067442706815,1.0705067442706815,0.0
2022-10-11,1.0696368181011624,1.0705067442706815,-0.000812630255881075
2022-10-12,1.0692173240858922,1.0705067442706815,-0.0012044951530574277
2022-10-13,1.0688997438216834,1.0705067442706815,-0.0015011586406145083
2022-10-14,1.068154727075674,1.0705067442706815,-0.002197106377512803
2022-10-17,1.0684440031485936,1.0705067442706815,-0.0019268828833892693
2022-10-18,1.0674608498827833,1.0705067442706815,-0.0028452827637002187
2022-10-19,1.0654639924273663,1.0705067442706815,-0.0047106212738068365
2022-10-20,1.0690845422777102,1.0705067442706815,-0.001328531558145607
2022-10-21,1.0685629880548713,1.0705067442706815,-0.0018157346753892023
2022-10-24,1.0664924499957933,1.0705067442706815,-0.0037499009664091476
2022-10-25,1.067011046254331,1.0705067442706815,-0.0032654609931785927
2022-10-26,1.068869658037967,1.0705067442706815,-0.0015292628855222423
2022-10-27,1.0767657645854116,1.0767657645854116,0.0
2022-10-28,1.0761752001575058,1.0767657645854116,-0.0005484613713858666
2022-10-31,1.080509237617603,1.080509237617603,0.0
2022-11-01,1.079726313255839,1.080509237617603,-0.0007245883093885963
2022-11-02,1.0773777208803443,1.080509237617603,-0.0028981859925264475
2022-11-03,1.0753569306827138,1.080509237617603,-0.004768406188039198
2022-11-04,1.0725622620074406,1.080509237617603,-0.007354842821783336
2022-11-07,1.0742600053761517,1.080509237617603,-0.005783599088176383
2022-11-08,1.074815118879613,1.080509237617603,-0.005269847345817258
2022-11-09,1.0742584261383057,1.080509237617603,-0.0057850606562880325
2022-11-10,1.0782585895511223,1.080509237617603,-0.002082951249397169
2022-11-11,1.0790036624520847,1.080509237617603,-0.0013933940711492454
2022-11-14,1.0810750750350342,1.0810750750350342,0.0
2022-11-15,1.07758008967819,1.0810750750350342,-0.003232879415641876
2022-11-16,1.0788762980928623,1.0810750750350342,-0.0020338799709174182
2022-11-17,1.080218669084677,1.0810750750350342,-0.0007921799051092693
2022-11-18,1.0815149957819867,1.0815149957819867,0.0
2022-11-21,1.0794020048970108,1.0815149957819867,-0.0019537323968847886
2022-11-22,1.0837247152471416,1.0837247152471416,0.0
2022-11-23,1.0841448119410881,1.0841448119410881,0.0
2022-11-24,1.0839374119013667,1.0841448119410881,-0.00019130289370672404
2022-11-25,1.0865515354590214,1.0865515354590214,0.0
2022-11-28,1.0850364627641067,1.0865515354590214,-0.0013943864100975922
2022-11-29,1.0862263993913241,1.0865515354590214,-0.0002992366740891539
2022-11-30,1.0865456837557501,1.0865515354590214,-5.385573606297989e-06
2022-12-01,1.086538687224831,1.0865515354590214,-1.182478121930508e-05
2022-12-02,1.0862580630468979,1.0865515354590214,-0.0002700952532357359
2022-12-05,1.089171729278315,1.089171729278315,0.0
2022-12-06,1.088859432057127,1.089171729278315,-0.00028672909220195386
2022-12-07,1.0886708637452784,1.089171729278315,-0.00045985910171242317
2022-12-08,1.0886468272881147,1.089171729278315,-0.0004819276667675787
2022-12-09,1.0873320065083958,1.089171729278315,-0.0016891025725925823
2022-12-12,1.086197535879496,1.089171729278315,-0.0027306927997384767
2022-12-13,1.0859866257901316,1.089171729278315,-0.00292433544000803
2022-12-14,1.0885070500290548,1.089171729278315,-0.0006102612025199461
2022-12-15,1.087188732599222,1.089171729278315,-0.0018206464837339231
2022-12-16,1.0876098703797918,1.089171729278315,-0.0014339877326396966
2022-12-19,1.088384352151053,1.089171729278315,-0.0007229136655829693
2022-12-20,1.090124241163568,1.090124241163568,0.0
2022-12-21,1.0897159428387657,1.090124241163568,-0.0003745429276634793
2022-12-22,1.0923563648944767,1.0923563648944767,0.0
2022-12-23,1.0940275289707129,1.0940275289707129,0.0
2022-12-26,1.0898586765139244,1.0940275289707129,-0.0038105553529449443
2022-12-27,1.0906288984209898,1.0940275289707129,-0.0031065311061418965
2022-12-28,1.0917127543803211,1.0940275289707129,-0.0021158284678353123
2022-12-29,1.092946460546507,1.0940275289707129,-0.0009881546812839925
2022-12-30,1.093722671572751,1.0940275289707129,-0.00027865605744736843
2023-01-03,1.090505193801393,1.0940275289707129,-0.0032196037814823386
2023-01-04,1.093242753470434,1.0940275289707129,-0.0007173270137151855
2023-01-05,1.093916533237411,1.0940275289707129,-0.00010145606976297294
2023-01-06,1.0923769543588637,1.0940275289707129,-0.001508713965728159
2023-01-09,1.0915314426490947,1.0940275289707129,-0.0022815571414062097
2023-01-10,1.091652194916702,1.0940275289707129,-0.0021711830745664296
2023-01-11,1.0922146790377225,1.0940275289707129,-0.0016570423366730758
2023-01-12,1.0935358939946624,1.0940275289707129,-0.0004493808090121343
2023-01-13,1.0958754625463059,1.0958754625463059,0.0
2023-01-16,1.0959457214518098,1.0959457214518098,0.0
2023-01-17,1.097203745600939,1.097203745600939,0.0
2023-01-18,1.0976301699330313,1.0976301699330313,0.0
2023-01-19,1.1007776227016062,1.1007776227016062,0.0
2023-01-20,1.0987560381414152,1.1007776227016062,-0.001836505865035143
2023-01-30,1.0965721482150632,1.1007776227016062,-0.0038204578289133817
2023-01-31,1.0951072065263285,1.1007776227016062,-0.005151282201177887
2023-02-01,1.0963130657007945,1.1007776227016062,-0.004055821002115323
2023-02-02,1.0955731334281074,1.1007776227016062,-0.004728011513102537
2023-02-03,1.0970359602476307,1.1007776227016062,-0.003399108391023087
2023-02-06,1.1011528896859184,1.1011528896859184,0.0
2023-02-07,1.1033955250338137,1.1033955250338137,0.0
2023-02-08,1.1040485591756746,1.1040485591756746,0.0
2023-02-09,1.1061209516050028,1.1061209516050028,0.0
2023-02-10,1.1090739298925796,1.1090739298925796,0.0
2023-02-13,1.1080755130838014,1.1090739298925796,-0.0009002256584238477
2023-02-14,1.1109073514790258,1.1109073514790258,0.0
2023-02-15,1.113118676303378,1.113118676303378,0.0
2023-02-16,1.115951995993497,1.115951995993497,0.0
