horizon_days,rank_within_horizon,start,end,compounded_excess_return,annualized_return_linear,daily_volatility,positive_day_ratio
20,1,2024-02-08,2024-03-14,-0.046916845921574746,-0.5975598864900854,0.004474101681778628,0.3
20,2,2025-07-23,2025-08-19,-0.023589707843560626,-0.29762519855689246,0.0022506886944801394,0.3
20,3,2023-05-15,2023-06-09,-0.021142495965037922,-0.26671565478650616,0.0014689443129386741,0.25
60,1,2025-06-03,2025-08-25,-0.029496093332036954,-0.12406601919515475,0.002303423768026542,0.36666666666666664
60,2,2024-02-08,2024-05-16,-0.02342225812676857,-0.09684597097903812,0.003918155867529632,0.45
60,3,2024-07-31,2024-10-31,-0.015142409932545897,-0.06317381744007905,0.0017903648119973617,0.48333333333333334
120,1,2025-04-09,2025-09-29,-0.017653892732376608,-0.03650359298590764,0.0022022370888936447,0.425
120,2,2024-02-08,2024-08-09,-0.017239723782413896,-0.03500682481440539,0.003136209477269583,0.4666666666666667
120,3,2024-08-12,2025-02-13,0.011519143056887726,0.024438682535389365,0.0021580508319805555,0.5
