Date,rank_ic,mean_60d,std_60d,icir_60d,mean_120d,std_120d,icir_120d,mean_250d,std_250d,icir_250d,se_250d
2022-01-28,,,,,,,,,,,
2022-02-07,0.03595728204521921,,,,,,,,,,
2022-02-08,0.1217463382331925,,,,,,,,,,
2022-02-09,-0.029403861645283014,,,,,,,,,,
2022-02-10,0.05595192400039753,,,,,,,,,,
2022-02-11,0.036576533859175885,,,,,,,,,,
2022-02-14,0.001276625235242344,,,,,,,,,,
2022-02-15,-0.07475808281096737,,,,,,,,,,
2022-02-16,0.06537574944437466,,,,,,,,,,
2022-02-17,-0.017824494889882126,,,,,,,,,,
2022-02-18,0.07845387434199108,,,,,,,,,,
2022-02-21,0.0085433492510526,,,,,,,,,,
2022-02-22,-0.0024265364742770226,,,,,,,,,,
2022-02-23,0.007546940399338989,,,,,,,,,,
2022-02-24,0.07758824860092715,,,,,,,,,,
2022-02-25,0.05388262703273294,,,,,,,,,,
2022-02-28,-0.01197462640199327,,,,,,,,,,
2022-03-01,-0.01541589962078888,,,,,,,,,,
2022-03-02,0.05915543451683236,,,,,,,,,,
2022-03-03,0.10483943565618593,,,,,,,,,,
2022-03-04,0.07763851422066326,,,,,,,,,,
2022-03-07,0.020136417973448763,,,,,,,,,,
2022-03-08,0.03479550275170161,,,,,,,,,,
2022-03-09,-0.09537162079709022,,,,,,,,,,
2022-03-10,0.07107327324227035,,,,,,,,,,
2022-03-11,0.07738331469821669,,,,,,,,,,
2022-03-14,0.09817458429480767,,,,,,,,,,
2022-03-15,0.002525600992718608,,,,,,,,,,
2022-03-16,-0.019924270370052975,,,,,,,,,,
2022-03-17,-0.04487339960229816,,,,,,,,,,
2022-03-18,0.10754850250056791,0.029473242689280834,0.05479022654738926,8.505401674915584,,,,,,,
2022-03-21,-0.008524369611822862,0.028247513260212975,0.05429989029370936,8.225291032349473,,,,,,,
2022-03-22,0.15014757967788028,0.03205689033576507,0.057599732708659084,8.799762029800004,,,,,,,
2022-03-23,0.04100366135745672,0.032328004609149676,0.05671398211799494,9.012779825673492,,,,,,,
2022-03-24,0.06950890161397774,0.03342156040340932,0.056210908108468356,9.401044867281472,,,,,,,
2022-03-25,0.13742388261052918,0.03639305532361274,0.05810143891476304,9.9037948099673,,,,,,,
2022-03-28,0.12530789527768585,0.038862911989003664,0.059151782194812236,10.388133191589144,,,,,,,
2022-03-29,0.06097309496775386,0.03946048450194286,0.058437600752744366,10.676773771727294,,,,,,,
2022-03-30,-0.02984672774669348,0.0376366104953998,0.0587287388991502,10.132808468647681,,,,,,,
2022-03-31,0.1300659703763309,0.04000659408209034,0.059811002132480695,10.575977179332007,,,,,,,
2022-04-01,0.0890329491294574,0.04123225295827452,0.05954593594035055,10.948508101289868,,,,,,,
2022-04-06,0.1332516572669579,0.04347662867312045,0.060527693175620206,11.357212242793857,,,,,,,
2022-04-07,0.07576969075914718,0.044245511103740136,0.059992291768539395,11.66121406612634,,,,,,,
2022-04-08,0.057667480448916696,0.044557649925720984,0.059309125147241154,11.878750580109092,,,,,,,
2022-04-11,0.08136866725183901,0.045394263955860034,0.05887754182805778,12.190494231791723,,,,,,,
2022-04-12,0.06686598557080883,0.04587141332508112,0.05829257743065988,12.442248395244105,,,,,,,
2022-04-13,0.13795262731918262,0.047873178846692024,0.059218560650016,12.782165112290574,,,,,,,
2022-04-14,0.03393614980052656,0.04757664631379488,0.05860661311582964,12.835630467716719,,,,,,,
2022-04-15,0.07765496663481088,0.04820327798714938,0.0581420988516143,13.108586732883005,,,,,,,
2022-04-18,-0.0008209417463542342,0.047202783706873794,0.05795795847637685,12.87729177649066,,,,,,,
2022-04-19,0.07208745347328288,0.04770047710220198,0.05747135213402961,13.123247280478619,,,,,,,
