round_trip_cost_bp,mean_daily_turnover,net_excess_n_days,net_excess_annual_return,net_excess_sharpe,net_excess_max_drawdown,net_excess_calmar,net_excess_positive_day_ratio
0,0.3540080889928194,950,0.0880522544128777,2.1602281331858895,-0.05040671426100312,1.7468358274048195,0.54
5,0.3540080889928194,950,0.04375466327706591,1.073955654094891,-0.06017740846777158,0.7270945092376156,0.5126315789473684
10,0.3540080889928194,950,-0.0005429278587462025,-0.01333105677013046,-0.1192026484661444,-0.0045546627170821915,0.48526315789473684
15,0.3540080889928194,950,-0.04484051899455826,-1.1013136428112722,-0.19016977234036692,-0.23579204225108102,0.45052631578947366
20,0.3540080889928194,950,-0.08913811013037039,-2.1896725202776155,-0.29145167596879745,-0.30584181694639984,0.42210526315789476
30,0.3540080889928194,950,-0.17773329240199437,-4.36623748836172,-0.49304396530718014,-0.3604816302563638,0.36105263157894735
50,0.3540080889928194,950,-0.3549236569452423,-8.709794893176245,-0.7414900267127229,-0.4786627522405654,0.24421052631578946
