signal,style,mean_cs_spearman,t_stat,n_days
Raw,Size,0.08786429394717184,20.198710537406864,951
Raw,Momentum20,-0.10980959512474259,-30.40765081142602,951
Raw,Momentum60,-0.15508458504513128,-33.253843433920366,951
Raw,Volatility20,-0.42625294657841756,-107.12902103151573,951
Raw,LiquidityLogADV20,-0.2010315910932197,-49.51152294646993,951
Raw,TurnoverProxy20,-0.34563876633960827,-105.69085330859123,951
Raw,Amihud20,0.026260880329864813,6.154020151603385,951
Raw,Beta60,-0.11157035747243887,-26.380285992586877,951
Raw,Reversal1D,-0.04013464031515173,-12.887487508172091,951
Raw,OvernightReturn,0.08456170375775028,47.944977096195295,951
Raw,IntradayReturn,0.010450547958275179,3.309578293216654,951
Size+Industry,Size,-0.0007131470210539174,-1.169884485749781,951
Size+Industry,Momentum20,-0.1150111549783876,-46.3222252993442,951
Size+Industry,Momentum60,-0.14691061478234893,-44.570411152988434,951
Size+Industry,Volatility20,-0.3736570024021595,-111.2631896896486,951
Size+Industry,LiquidityLogADV20,-0.2457282051255547,-115.22000387632971,951
Size+Industry,TurnoverProxy20,-0.275047641784371,-130.37741912968562,951
Size+Industry,Amihud20,0.09465743992168191,59.37892274093919,951
Size+Industry,Beta60,-0.045300308534130675,-23.61729237477989,951
Size+Industry,Reversal1D,-0.03297167676940932,-17.564301641163564,951
Size+Industry,OvernightReturn,0.08320778872287353,60.36202790822996,951
Size+Industry,IntradayReturn,0.0032983210180992516,1.6951178298546903,951
