step,rank_ic,icir,ic_positive_ratio,n_days,mean_signal_cs_corr,icir_retention
TGD20,0.04168825681194284,11.290344770209058,0.7694736842105263,950,0.41051972518145885,1.0
TGD20_perp_APM_SessionResidual,0.0321129089294139,8.164623463562874,0.7147368421052631,950,,0.7231509426626388
APM_SessionResidual,0.029055647370679408,5.682817375523995,0.6557894736842105,950,0.41051972518145885,1.0
APM_SessionResidual_perp_TGD20,0.012694603099086476,2.326211883558472,0.5642105263157895,950,,0.4093413055252333
