Date,Daily,Every5D,Every10D,Every20D,Buffer5_15
2022-01-28,0.0,0.0,0.0,0.0,0.0
2022-02-07,0.00033102014287843436,0.00033102014287843436,0.00033102014287843436,0.00033102014287843436,-0.003065199891066176
2022-02-08,0.003091357537459938,0.0055777426683866135,0.0055777426683866135,0.0055777426683866135,-0.0009057524749792505
2022-02-09,-0.006492338416648288,-0.004538343968016379,-0.004538343968016379,-0.004538343968016379,-0.007050781961390863
2022-02-10,-0.0011967858030491405,-2.1338169335274187e-06,-2.1338169335274187e-06,-2.1338169335274187e-06,-0.0022299392758073906
2022-02-11,-0.005503696060118366,-0.002355186470465249,-0.002355186470465249,-0.002355186470465249,-0.004744179961580813
2022-02-14,-0.00559563954711081,-0.007018282462736532,-0.0022009154920095545,-0.0022009154920095545,-0.008419447330946081
2022-02-15,-0.004991646758513605,-0.0032301960053532676,-0.005998651341645211,-0.005998651341645211,-0.0024086504592491027
2022-02-16,0.0016031755619804293,0.0020327289316543658,0.0019276223671163776,0.0019276223671163776,0.0018776141437294178
2022-02-17,-0.003963425780493928,-0.0005212855991125758,-0.0037805294668995745,-0.0037805294668995745,-0.002476631948188062
2022-02-18,-0.0013437618743695568,0.0026221023968351753,0.00511471466786279,0.00511471466786279,0.0008670606599809855
2022-02-21,-0.005044033284697868,-0.0065047398456207235,-0.007745954854554613,0.004977942483403363,-0.002707341245721846
2022-02-22,-0.003996291465387281,-0.0036629291327697384,-0.0036629291327697384,0.0010582551601502378,-0.004166983597744798
2022-02-23,0.0044079524163304455,0.003253931190558383,0.003253931190558383,-0.0028227722774792074,0.004406546795339537
2022-02-24,0.006695167997618969,0.008253055552487992,0.008253055552487992,0.0032570394422798306,0.009563713347146471
2022-02-25,0.0009515705732853676,0.000784975681892959,0.000784975681892959,-0.0024078617438039757,0.0008044893309234381
2022-02-28,-0.003948182370176052,-0.005319455997962015,-0.00399672739752171,-0.007102776032601512,-0.003996898849372241
2022-03-01,-0.004337112041198193,-0.003701060310786957,-0.004604456495683501,0.0019667219999293002,-0.005001069904884754
2022-03-02,-0.0029226217042131897,-0.0014300441413586124,-0.0027130727823362396,0.0008872287513211679,-0.0034363007729546566
2022-03-03,0.002842424680329578,0.005647032449931165,0.0027791854235251242,0.008108369083996338,0.0018482289169748606
2022-03-04,0.004640167039295843,0.006038554789420194,0.0024403200908311266,-0.0014259164085756205,0.007641466635866248
2022-03-07,-0.0057494571248708016,-0.007145452795866472,-0.008330533191661153,-0.00979484982740636,-0.007116270321033762
2022-03-08,0.00048111237390197027,0.0012921975482283084,0.0012921975482283084,0.0012921975482283084,0.0019778421332352653
2022-03-09,-0.01403907612266776,-0.01413550554495737,-0.01413550554495737,-0.01413550554495737,-0.01774636885128862
2022-03-10,0.0025642758420158607,0.0021317528712369027,0.0021317528712369027,0.0021317528712369027,0.004427838894694284
2022-03-11,0.003621914666856572,0.0044098836926878444,0.0044098836926878444,0.0044098836926878444,0.0041160565659855985
2022-03-14,4.117086558572526e-05,-0.0013657902716237191,0.00369551242549436,0.00369551242549436,-0.0008573787169122131
2022-03-15,-0.00949450813754831,-0.00906278049827218,-0.00804149305089509,-0.00804149305089509,-0.01027578119241495
2022-03-16,-0.0014730429730756267,-0.003560088264851907,-0.006435587989847492,-0.006435587989847492,-0.0029698521852121315
2022-03-17,-0.0027841803921303974,-0.0023160538762616763,-0.005476571473061579,-0.005476571473061579,8.876207158963655e-05
2022-03-18,0.0062718560668823435,0.0012346394235232087,0.0030541057249846085,0.0030541057249846085,0.0033799271438735338
2022-03-21,-0.0034872583235242074,-0.004870875086354453,-0.005863131387599517,-0.0025420269239355437,-0.0029268056456368497
2022-03-22,0.012422135130492628,0.01406761659063178,0.01406761659063178,0.006723375901826701,0.011696112400944224
2022-03-23,0.004667104478585655,0.003890849404706214,0.003890849404706214,0.0030623765949790447,0.005620879156466082
2022-03-24,0.00032013620587437674,0.002795427388465631,0.002795427388465631,0.005210412235400658,0.001563643868635642
2022-03-25,0.006638027104889582,0.008795702945083613,0.008795702945083613,0.0065970968635034564,0.0061227427435775654
2022-03-28,0.003403130867485986,0.001979155768791786,0.004949697340826254,0.0013506371661098915,0.0012967832413704008
2022-03-29,-0.004197113968455639,-0.0018120870739450033,0.0019409744950571826,0.0003807882574664249,-0.00040741294984862164
2022-03-30,-0.0025539559688158636,-0.0019108043264168227,-0.003830303424811228,-0.0025508436195817562,-0.001098572686314621
2022-03-31,0.006599965142067018,0.009278901783529931,0.009750966271545553,0.005588000368784804,0.008187064384125085
2022-04-01,0.0032035748094492974,0.005829421081885918,0.0054489952596534046,0.001985685269372375,0.004035640248487623
2022-04-06,0.010120545618190358,0.0085669383660039,0.007452177148043098,0.006215195424631427,0.008178272326075936
2022-04-07,-0.0009925712781364542,0.003207586185359143,0.003207586185359143,0.003207586185359143,0.0005507069427301317
2022-04-08,0.0030475554212397093,0.004846772142819917,0.004846772142819917,0.004846772142819917,0.005206374930850375
2022-04-11,-0.0010293996285312109,0.0018083210181964737,0.0018083210181964737,0.0018083210181964737,0.0002690764450746603
2022-04-12,0.001310310664849958,0.001810562858077621,0.001810562858077621,0.001810562858077621,0.0021407282524756885
2022-04-13,0.007571292740974461,0.006219712686072897,0.009365697291831064,0.009365697291831064,0.007170438363557496
2022-04-14,-0.0007260453025167075,0.0007736592967103259,-0.002060900509073529,-0.002060900509073529,-0.0007755116819296617
2022-04-15,0.006776400298735063,0.006425230635639826,0.0007124664512669181,0.0007124664512669181,0.006972603262796513
2022-04-18,0.002991555374304565,0.0022873481864368423,0.0013267243107271467,0.0013267243107271467,0.004328545759547892
2022-04-19,-0.0003249515129191234,0.0009246937126339357,0.0020694579131326036,0.0020694579131326036,-0.0018378831725044415
2022-04-20,0.0022499292289944787,0.0007855971325195252,-9.175900717703573e-05,0.004266784736064327,0.0038878386934955824
2022-04-21,0.0015283904619273303,0.002976016975339217,0.002976016975339217,0.004761209596511426,0.0021705437071955834
2022-04-22,0.006802450403358358,0.007812880141453635,0.007812880141453635,0.008839371406205044,0.00726509367412467
2022-04-25,-0.0027090712848981424,0.0023731053024730886,0.0023731053024730886,0.002615839239151596,0.001032028682157312
2022-04-26,-0.00021893971009560203,-0.00042527494209618905,-0.00042527494209618905,-0.001312290384050667,0.0014964377326806234
2022-04-27,0.002374806783441507,0.001121714637492218,-0.007429163688948363,-0.013283187768347249,0.0015546098599146538
2022-04-28,-0.00042100218608462304,-0.0010879749205988908,0.0013373270942978015,0.0012479703408963781,-0.00013245566929311672
2022-04-29,-0.0026838077068638277,0.0008901899212098788,0.002042919486655831,-0.0006047127275911404,-0.0015591282974983375
2022-05-05,-0.0034549344102779785,-0.0008028349530841798,-0.0005759743250258534,-0.005076885860053011,-0.0055842942514094055
2022-05-06,0.0032590226295312746,0.00437935065697731,0.001830648713164464,-0.0019108406416878422,0.006676090816557637
2022-05-09,-0.005154735083648101,-0.006570010022025178,-0.007693742242185969,-0.008918762433690882,-0.004202110193884924
2022-05-10,-0.0046795318873777015,-0.0052246902340065265,-0.0052246902340065265,-0.0052246902340065265,-0.008302139686761124
