industry_code,industry,rank_ic,icir,ic_positive_ratio,n_days,mean_names
b105000000000000,钢铁,0.022397014257571173,2.050293806814026,0.5526315789473685,950,52.050526315789476
b102000000000000,煤炭,0.028631946232991277,1.7807388346689015,0.5484210526315789,950,35.025263157894734
b101000000000000,石油石化,0.03074858200302872,2.525668600408558,0.5536842105263158,950,47.31473684210526
b10t000000000000,综合,0.0353425814682963,2.6095646222816833,0.5944584382871536,794,30.910579345088163
b10i000000000000,医药,0.042202024812637705,5.855961095449716,0.671578947368421,950,448.2621052631579
b10c000000000000,国防军工,0.04239372489990341,4.692316731129336,0.628421052631579,950,109.8221052631579
b109000000000000,轻工制造,0.04275664248966459,5.7129098600625445,0.6621052631578948,950,146.54842105263157
b106000000000000,基础化工,0.043456848859857136,6.80077444851046,0.6789473684210526,950,447.92526315789473
b10p000000000000,电子,0.04386267791198181,6.5890712650056695,0.651578947368421,950,423.60526315789474
b10j000000000000,食品饮料,0.044891544534374016,4.366162175513828,0.6063157894736843,950,122.15052631578948
b104000000000000,电力及公用事业,0.04566657661170754,5.007213959791172,0.6105263157894737,950,210.23684210526315
b10q000000000000,通信,0.045941773402370205,5.251727564708646,0.6389473684210526,950,114.30105263157894
b103000000000000,有色金属,0.046059735925605236,4.668884084062416,0.631578947368421,950,118.40526315789474
b10o000000000000,交通运输,0.04624090320918281,4.904969716509798,0.6273684210526316,950,115.76
b10m000000000000,非银行金融,0.04687297098992457,4.396334082790367,0.6063157894736843,950,69.94421052631579
b10d000000000000,汽车,0.0475955204900328,6.070606669633743,0.6494736842105263,950,206.95052631578946
b10h000000000000,纺织服装,0.04763337987492896,5.702154005312391,0.6368421052631579,950,92.58947368421053
b108000000000000,建材,0.047668511420219085,4.888468127585253,0.6484210526315789,950,80.35263157894737
b10r000000000000,计算机,0.048607892976932014,7.512206869478227,0.6778947368421052,950,309.63157894736844
b10k000000000000,农林牧渔,0.04863179860261755,4.747432247673873,0.62,950,93.17052631578947
b10g000000000000,家电,0.049544023981805144,5.187683813022343,0.6389473684210526,950,75.7421052631579
b10a000000000000,机械,0.04985148831600474,8.29647070414266,0.7136842105263158,950,564.2957894736842
b10l000000000000,银行,0.050305364694442266,3.564086246606671,0.6136842105263158,950,41.934736842105266
b107000000000000,建筑,0.05171176083615276,5.696154430073633,0.64,950,143.01894736842107
b10e000000000000,商贸零售,0.052385485273882225,5.3653377953359245,0.6336842105263157,950,99.43789473684211
b10s000000000000,传媒,0.05246184858515859,5.502968319785095,0.628421052631579,950,134.6778947368421
b10f000000000000,消费者服务,0.05248787715323925,4.180314418494092,0.5852631578947368,950,51.201052631578946
b10b000000000000,电力设备及新能源,0.052838188514838805,6.23615638423229,0.6568421052631579,950,284.1926315789474
b10n000000000000,房地产,0.05326749409970686,5.187082216765076,0.6210526315789474,950,104.64105263157894
