Date,baseline_SI,perp_same_day_return,perp_vol20,perp_log_adv20,perp_prev_day_return
2022-02-07,0.03595728204521921,0.04478449439091435,-0.027561562736575892,0.030272940843067118,0.03144497091776598
2022-02-08,0.1217463382331925,0.12205922214695665,0.09813168663913864,0.09326236140986019,0.11227545808664771
2022-02-09,-0.029403861645283014,-0.028577550547346443,0.038743714166905086,0.004826310548511151,-0.03430585020969678
2022-02-10,0.05595192400039753,0.04736837180616137,-0.017122867913293316,0.0574817863758114,0.04307959849004443
2022-02-11,0.036576533859175885,0.042134097889849995,-0.07068676264201106,0.03390868434544251,0.02780288662040401
2022-02-14,0.001276625235242344,-0.012956720726029516,0.041130934411558115,-0.02689912227082204,-0.0034588581932452327
2022-02-15,-0.07475808281096737,-0.0796235421700465,-0.05922495400543014,-0.04069120367778225,-0.09151858931388573
2022-02-16,0.06537574944437466,0.04573124157948537,0.05784318923598056,0.0217666092492873,0.06351479149397715
2022-02-17,-0.017824494889882126,-0.016327786808260074,-0.052603363215946865,-0.010488133135129137,-0.004639317319636213
2022-02-18,0.07845387434199108,0.0560235151316223,0.0807275808096565,0.07279505195327593,0.07827468763137198
2022-02-21,0.0085433492510526,0.011552137125897099,0.06715649597594699,-0.008292148276265482,-0.007435650340347581
2022-02-22,-0.0024265364742770226,-0.005269671543279156,-0.048930084557539597,-0.01712754479266271,-0.0031204078146676723
2022-02-23,0.007546940399338989,-0.0007444560124608954,0.04087656213404191,0.019171682344980137,0.001656768084205911
2022-02-24,0.07758824860092715,0.07683136489440434,0.006477486861554287,0.07245297283569661,0.09496635400466756
2022-02-25,0.05388262703273294,0.061642771124560285,0.05946860771030488,0.0424032404162584,0.05534017048388606
2022-02-28,-0.01197462640199327,-0.010583263982914513,0.0033902436310339614,0.043505880319211036,-0.012037986633101938
2022-03-01,-0.01541589962078888,-0.020647809559113633,-0.00870446601444505,-0.04292714440471482,-0.0193104923444132
2022-03-02,0.05915543451683236,0.06110989043193484,0.018357268902797253,0.006155184287476219,0.058159918095875035
2022-03-03,0.10483943565618593,0.12378243953303428,-0.007802128843588946,0.06716583349861031,0.10549752214388938
2022-03-04,0.07763851422066326,0.07754033943635835,0.02584764677966005,0.06251355044494873,0.07542676484405907
2022-03-07,0.020136417973448763,0.01879923797105704,0.007768373968046505,-0.024446255928476813,0.020643542400559572
2022-03-08,0.03479550275170161,0.02862394679870606,0.030817567559974796,0.03886427309364532,0.03743487698591274
