horizon_days,mean_rank_ic,icir_annualized,t_stat,n_days,retention_vs_1d
1,0.04168825681194284,11.290344770209058,22.008933711443426,950,1.0
2,0.0458340447053625,12.125804765837064,23.62510097476985,949,1.0994473794412045
3,0.049341381223057375,12.954332657023565,25.22604752157644,948,1.1835798614856468
5,0.05398667417787764,14.417745511233928,28.046128488820983,946,1.2950091538107096
10,0.06150208650187142,16.08974707065133,31.215768009804187,941,1.4752856368955278
20,0.06884576640385767,17.325959454576555,33.43506177180705,931,1.6514426763974155
