Date,selected_adv20_cny,two_way_turnover,selected_names
2022-01-28,,0.0,0
2022-02-07,,1.0,437
2022-02-08,,0.40274599542334094,435
2022-02-09,,0.3715596330275229,436
2022-02-10,,0.4118993135011442,437
2022-02-11,,0.41189931350114417,437
2022-02-14,,0.38901601830663624,437
2022-02-15,,0.4073226544622426,437
2022-02-16,,0.3661327231121282,437
2022-02-17,,0.37528604118993136,437
2022-02-18,,0.3707093821510298,437
2022-02-21,,0.4429223744292238,438
2022-02-22,,0.4337899543378996,437
2022-02-23,,0.36073059360730597,438
2022-02-24,48758265220.86667,0.3744292237442922,438
2022-02-25,44366236573.4375,0.3378995433789954,438
2022-02-28,44690018868.88235,0.3835616438356164,438
2022-03-01,43744832964.94444,0.3287671232876712,438
2022-03-02,45667267094.63158,0.3607305936073059,438
2022-03-03,42558538335.9,0.3189066059225512,439
2022-03-04,45052358790.35,0.35454545454545455,440
2022-03-07,45891182612.799995,0.31292517006802717,441
2022-03-08,46607764915.45,0.3755656108597285,442
2022-03-09,49129125745.15,0.3386004514672688,443
2022-03-10,51930606281.75,0.3566591422121896,443
2022-03-11,48203438096.75,0.38826185101580135,443
2022-03-14,52813607948.25,0.3378378378378377,444
2022-03-15,51136481007.7,0.37837837837837834,444
2022-03-16,50336322070.1,0.38651685393258417,445
2022-03-17,54919390636.05,0.3946188340807176,446
2022-03-18,52751089869.299995,0.31838565022421533,445
2022-03-21,59509194965.4,0.37303370786516854,445
2022-03-22,61482070145.149994,0.3640449438202247,444
2022-03-23,54284826518.149994,0.3820224719101123,445
2022-03-24,56096685292.7,0.3865168539325843,445
2022-03-25,55211610445.95,0.2966292134831461,445
2022-03-28,59407636211.95,0.3640449438202247,444
2022-03-29,52858223644.0,0.3820224719101123,445
2022-03-30,56414752452.95,0.3460674157303371,445
2022-03-31,46419473374.4,0.39550561797752803,444
2022-04-01,54474461401.049995,0.3873873873873873,443
2022-04-06,52894858546.5,0.3702031602708805,442
2022-04-07,61349576583.8,0.4208144796380091,442
2022-04-08,48029407249.65,0.3024830699774268,443
2022-04-11,55610263698.65,0.38374717832957106,443
2022-04-12,48413479483.25,0.3927765237020317,441
2022-04-13,47671135139.700005,0.3537414965986395,441
2022-04-14,43859477530.25,0.2934537246049662,443
2022-04-15,48114552441.65,0.2979683972911965,442
2022-04-18,45553666194.850006,0.3212669683257919,442
2022-04-19,49079503975.95,0.3438914027149321,441
2022-04-20,42063049228.1,0.326530612244898,441
2022-04-21,43013482191.75,0.3167420814479638,442
2022-04-22,40298554740.350006,0.27990970654627556,443
2022-04-25,41419305544.1,0.30699774266365687,443
2022-04-26,37693228707.45,0.288939051918736,441
2022-04-27,37340846465.600006,0.3537414965986394,440
2022-04-28,39844733778.100006,0.29545454545454547,440
2022-04-29,42560711722.9,0.3409090909090909,439
2022-05-05,38831985763.3,0.35990888382687936,437
2022-05-06,41419539365.75,0.37528604118993136,433
2022-05-09,35933172051.05,0.3640552995391705,434
2022-05-10,38941479072.5,0.4009216589861751,432
2022-05-11,38788078148.8,0.3048498845265588,433
2022-05-12,40732318208.25,0.4526558891454965,432
2022-05-13,43165873869.8,0.304147465437788,434
2022-05-16,40597603237.600006,0.28110599078341014,433
2022-05-17,40411590930.4,0.3233256351039261,433
2022-05-18,32783941484.000004,0.33256351039260973,433
2022-05-19,31366977106.15,0.3048498845265588,432
2022-05-20,33473865099.799995,0.2777777777777778,432
2022-05-23,33981856842.35,0.3325635103926097,433
2022-05-24,38360765767.8,0.31870669745958424,432
2022-05-25,37376305277.6,0.23148148148148145,432
2022-05-26,36730083184.2,0.3148148148148148,431
2022-05-27,37602711818.45,0.2962962962962963,432
2022-05-30,36983971452.45,0.32407407407407407,432
2022-05-31,44883190901.75,0.28637413394919164,433
2022-06-01,36873704422.45,0.2863741339491917,433
2022-06-02,38874610855.1,0.3548387096774194,434
2022-06-06,51127113771.95,0.3548387096774193,434
2022-06-07,43952890248.600006,0.3165137614678899,436
2022-06-08,45129853440.6,0.3424657534246576,438
2022-06-09,43501539472.65,0.3462414578587699,439
2022-06-10,46753442598.85,0.42272727272727273,440
2022-06-13,50514108701.95,0.35,440
2022-06-14,50752662426.55,0.32199546485260766,441
2022-06-15,53478286176.200005,0.3393665158371041,442
2022-06-16,52434565362.6,0.3393665158371041,442
2022-06-17,57913327760.85,0.3747178329571108,443
2022-06-20,56002631467.950005,0.3295711060948081,443
2022-06-21,56674959519.9,0.31081081081081074,444
2022-06-22,59100204690.25,0.346067415730337,445
2022-06-23,55662427724.350006,0.32808988764044944,445
2022-06-24,61407288102.299995,0.3811659192825113,446
2022-06-27,59705122307.549995,0.31767337807606266,447
2022-06-28,63314302181.200005,0.3713646532438478,447
2022-06-29,60832465559.7,0.38926174496644295,446
2022-06-30,71826961892.0,0.3400447427293065,447
2022-07-01,77184013953.2,0.44742729306487694,447
2022-07-04,74279135825.55002,0.4330357142857143,448
2022-07-05,79269479454.6,0.3973214285714285,448
2022-07-06,81423199077.75,0.3563474387527839,449
2022-07-07,74566017118.9,0.35189309576837413,449
2022-07-08,68457055840.549995,0.34743875278396436,449
2022-07-11,72098088750.5,0.34743875278396436,449
2022-07-12,63808394081.950005,0.36971046770601335,449
2022-07-13,64051197028.50001,0.44988864142538976,449
2022-07-14,67585379095.149994,0.36971046770601335,448
2022-07-15,71257254092.95001,0.40089086859688194,449
2022-07-18,69016438722.6,0.3786191536748329,449
2022-07-19,73057137218.15,0.34743875278396436,449
2022-07-20,73579966811.55002,0.3162583518930957,448
2022-07-21,69214413161.75,0.3839285714285714,448
2022-07-22,60358957181.7,0.4107142857142857,448
2022-07-25,65626515851.95,0.3616071428571428,448
2022-07-26,57643628153.899994,0.33482142857142855,448
2022-07-27,63162746700.95,0.40089086859688194,449
2022-07-28,58638312602.4,0.39198218262806234,449
2022-07-29,60255295769.65001,0.3741648106904232,449
2022-08-01,58255504150.3,0.34666666666666657,450
2022-08-02,56455821718.25,0.3733333333333333,450
2022-08-03,57462122839.7,0.3503325942350332,451
2022-08-04,57391563650.2,0.4124168514412417,451
2022-08-05,55852420652.1,0.3370288248337029,451
2022-08-08,52143096463.3,0.34070796460176994,452
2022-08-09,53922827877.74999,0.35398230088495575,452
2022-08-10,68168378182.2,0.3893805309734513,452
2022-08-11,61584531950.5,0.3841059602649006,453
2022-08-12,61558993876.35,0.3620309050772627,452
2022-08-15,55195562877.85,0.379690949227373,453
2022-08-16,53861926634.100006,0.35320088300220753,453
2022-08-17,59243070002.95,0.370044052863436,454
2022-08-18,66508903953.00001,0.3744493392070485,454
2022-08-19,69664640619.7,0.3700440528634362,454
2022-08-22,66432924183.05,0.3076923076923078,455
2022-08-23,63756985053.59999,0.40000000000000013,454
2022-08-24,64391477447.59999,0.3568281938325991,454
2022-08-25,65369481133.299995,0.32527472527472534,455
2022-08-26,66037202322.55,0.4043956043956044,455
2022-08-29,62463206634.450005,0.41666666666666674,456
2022-08-30,62151237118.75,0.41137855579868704,457
2022-08-31,60568874102.8,0.3413566739606127,457
2022-09-01,64832844117.4,0.3318777292576419,458
2022-09-02,64296048265.7,0.314410480349345,458
2022-09-05,62123800191.09999,0.33115468409586046,459
2022-09-06,58274336722.85,0.4139433551198257,459
2022-09-07,53354431076.75,0.38779956427015255,459
2022-09-08,56917313847.2,0.37472766884531594,459
2022-09-09,58298034844.75,0.39130434782608703,460
2022-09-13,49910725175.5,0.3731019522776573,461
2022-09-14,48893375304.65,0.36008676789587857,461
2022-09-15,50228707290.649994,0.3203463203463204,462
2022-09-16,46125507227.6,0.33333333333333337,462
2022-09-19,44733979134.2,0.40172786177105824,463
2022-09-20,44342238413.2,0.3455723542116631,463
2022-09-21,44694911642.649994,0.3663793103448277,464
2022-09-22,41703531539.7,0.41720430107526885,465
2022-09-23,39702676043.15,0.3526881720430108,464
2022-09-26,38330163721.450005,0.33978494623655914,465
2022-09-27,41755839709.25001,0.36480686695278974,466
2022-09-28,41085981440.25,0.3648068669527897,466
2022-09-29,39032872768.7,0.3133047210300429,466
2022-09-30,39387525023.299995,0.316916488222698,467
