mode,rank_ic,icir,hl_sharpe,hl_mdd,daily_turnover,net_sharpe,monotonicity
raw,0.0430099245704536,6.979512239654615,2.768625587644667,-0.1898727748951064,0.64709891384379,0.9958788369800716,0.9878787878787878
size,0.0443348768748535,8.669050579925067,3.5180176488054418,-0.0761723709931234,0.6517982388269535,1.5068526605473318,1.0
industry,0.0407514252038114,8.896414659499172,3.189344866855732,-0.1586652342905637,0.6437016347305948,1.163277212313254,0.9878787878787878
size_industry,0.0415249430720597,11.28716499138889,4.0558701848128855,-0.0604015267571688,0.6457686192234467,1.7189540950676885,0.9878787878787878
