Date,raw_long_return,raw_universe_return,raw_excess_return,size_industry_long_return,size_industry_universe_return,size_industry_excess_return,industry_matched_long_return,industry_matched_universe_return,industry_matched_excess_return,industry_matched_selected_names,signal_dispersion,signal_p90_minus_p10,g10_turnover,rolling_excess_sharpe_60d
2022-01-28,,,,,,,,,,,,,0.0,
2022-02-07,0.01610346259939449,0.014008673315659758,0.0020947892837347333,0.015103015222514662,0.014008673315659758,0.001094341906854904,0.015072537677165912,0.014008673315659758,0.0010638643615061543,451.0,0.9999999999999998,2.423119845084524,1.0,
2022-02-08,0.018901214561361093,0.013429816841138462,0.005471397720222631,0.016595317469118406,0.013429816841138462,0.003165500627979944,0.016857475661066205,0.013429816841138462,0.003427658819927744,449.0,0.9999999999999992,2.4033039833262766,0.40274599542334094,
2022-02-09,0.008983422101987883,0.013983336146572305,-0.004999914044584422,0.011956553677829537,0.013983336146572305,-0.002026782468742768,0.01151022754884055,0.013983336146572305,-0.0024731085977317546,449.0,0.9999999999999993,2.419554260342328,0.3715596330275229,
2022-02-10,-0.0019742016456934077,-0.003577520745323038,0.0016033190996296303,-0.002239121822658869,-0.003577520745323038,0.0013383989226641688,-0.0024054085953455558,-0.003577520745323038,0.0011721121499774821,449.0,0.999999999999999,2.3945774367674773,0.4118993135011442,
2022-02-11,-0.01797880872973927,-0.020447697141369972,0.0024688884116307007,-0.020978594040781073,-0.020447697141369972,-0.0005308968994111006,-0.020625746319819907,-0.020447697141369972,-0.00017804917844993495,450.0,1.0000000000000009,2.4156465683272392,0.41189931350114417,
2022-02-14,-0.00438730881798366,2.0958549033465398e-05,-0.0044082673670171255,-0.0016760197554941511,2.0958549033465398e-05,-0.0016969783045276165,-0.0024960042123241036,2.0958549033465398e-05,-0.002516962761357569,450.0,0.9999999999999992,2.3988263817212987,0.38901601830663624,
2022-02-15,0.001962984073851178,0.005900371797587556,-0.003937387723736378,0.002853820284044482,0.005900371797587556,-0.0030465515135430737,0.002753065494069327,0.005900371797587556,-0.0031473063035182287,452.0,1.0,2.3813035645050333,0.4073226544622426,
2022-02-16,0.011636081839817932,0.01236541894173139,-0.0007293371019134586,0.012132557126989536,0.01236541894173139,-0.00023286181474185472,0.012337212625109301,0.01236541894173139,-2.8206316622089028e-05,452.0,1.0000000000000002,2.3768346803155684,0.3661327231121282,
2022-02-17,-0.003672453600526827,-0.0017924857787840823,-0.0018799678217427448,-0.004077629221987956,-0.0017924857787840823,-0.0022851434432038737,-0.003525621641810881,-0.0017924857787840823,-0.0017331358630267987,452.0,1.0,2.341427477058254,0.37528604118993136,
2022-02-18,0.00608300655357813,0.007066558216309584,-0.000983551662731454,0.007497500471151427,0.007066558216309584,0.00043094225484184307,0.007060419784297972,0.007066558216309584,-6.13843201161153e-06,452.0,0.9999999999999992,2.3550082074695364,0.3707093821510298,
2022-02-21,0.009993942747615187,0.012959045087068148,-0.0029651023394529612,0.012162074750429889,0.012959045087068148,-0.00079697033663826,0.012080167404485746,0.012959045087068148,-0.0008788776825824022,452.0,1.0000000000000013,2.368259381330585,0.4429223744292238,
2022-02-22,-0.010757193034373865,-0.011424807447076076,0.0006676144127022113,-0.010897859063141764,-0.011424807447076076,0.0005269483839343125,-0.011070521404700419,-0.011424807447076076,0.00035428604237565733,452.0,0.9999999999999998,2.373744239072961,0.4337899543378996,
2022-02-23,0.01736180377988067,0.016992145763203046,0.00036965801667762296,0.017903504919026637,0.016992145763203046,0.0009113591558235906,0.016913493685220098,0.016992145763203046,-7.865207798294846e-05,453.0,1.0000000000000016,2.367883360412322,0.36073059360730597,
2022-02-24,-0.020745283346871115,-0.023143020917197787,0.002397737570326672,-0.022027938715020613,-0.023143020917197787,0.0011150822021771742,-0.022331644616694905,-0.023143020917197787,0.0008113763005028821,453.0,1.0,2.358018086434055,0.3744292237442922,
2022-02-25,0.011197491542950836,0.01055094995565161,0.0006465415872992254,0.011427987803803021,0.01055094995565161,0.0008770378481514109,0.011413963861877041,0.01055094995565161,0.0008630139062254308,453.0,0.9999999999999992,2.334070982123306,0.3378995433789954,
2022-02-28,-0.001095657729324021,0.0006201948991919563,-0.0017158526285159772,-0.001035182320306938,0.0006201948991919563,-0.0016553772194988943,-0.001507421260965533,0.0006201948991919563,-0.0021276161601574894,453.0,0.9999999999999999,2.3701846159391406,0.3835616438356164,
2022-03-01,0.006135008972355231,0.00806344533406461,-0.001928436361709379,0.006496380303439649,0.00806344533406461,-0.0015670650306249612,0.006209970429775441,0.00806344533406461,-0.0018534749042891686,453.0,0.999999999999999,2.3789500827691286,0.3287671232876712,
2022-03-02,0.00261117291357173,0.0038587511378245344,-0.0012475782242528043,0.0028364754777008465,0.0038587511378245344,-0.001022275660123688,0.0022250890219113664,0.0038587511378245344,-0.001633662115913168,454.0,0.9999999999999974,2.369171332174113,0.3607305936073059,
2022-03-03,-0.0013641208736600752,-0.002696426148016996,0.0013323052743569206,-0.0017708343539700033,-0.002696426148016996,0.0009255917940469926,-0.0009631406633303769,-0.002696426148016996,0.001733285484686619,454.0,0.9999999999999994,2.3848622364224084,0.3189066059225512,
2022-03-04,-0.007207702336427783,-0.011050417703721695,0.0038427153672939123,-0.008701671675952323,-0.011050417703721695,0.0023487460277693724,-0.008384625473251289,-0.011050417703721695,0.002665792230470407,456.0,1.000000000000002,2.411933331047974,0.35454545454545455,
2022-03-07,-0.014397131560375165,-0.015657514878741747,0.0012603833183665817,-0.01443814469722301,-0.015657514878741747,0.0012193701815187367,-0.014048979958171373,-0.015657514878741747,0.0016085349205703734,457.0,0.9999999999999991,2.4091346040137895,0.31292517006802717,
2022-03-08,-0.02835114867535314,-0.03171879395228345,0.0033676452769303075,-0.027922436046001527,-0.03171879395228345,0.0037963579062819212,-0.028326962936889532,-0.03171879395228345,0.0033918310153939167,457.0,0.9999999999999978,2.391842647333202,0.3755656108597285,
2022-03-09,-0.019789484736004243,-0.014186095455919862,-0.005603389280084381,-0.017978112337492316,-0.014186095455919862,-0.0037920168815724544,-0.018832815911652877,-0.014186095455919862,-0.004646720455733016,457.0,1.0000000000000002,2.3503844903893096,0.3386004514672688,
