adv_participation,median_daily_trade_capacity_cny,median_aum_capacity_cny,p25_aum_capacity_cny,median_selected_names,median_one_way_turnover
0.01,532076045.179,1524965797.8279564,1229478983.4946084,484.0,0.17479674796747968
0.03,1596228135.537,4574897393.483869,3688436950.483825,484.0,0.17479674796747968
0.05,2660380225.8950005,7624828989.139782,6147394917.4730425,484.0,0.17479674796747968
0.1,5320760451.790001,15249657978.279564,12294789834.946085,484.0,0.17479674796747968
