step,rank_ic,icir,ic_positive_ratio,n_days
Raw,0.043161942336490663,6.990131728813584,0.6957894736842105,950
Size,0.04449757442058063,8.678413124868547,0.7221052631578947,950
Industry,0.04090685291158336,8.906496420982196,0.7494736842105263,950
Size+Industry,0.04168825681194284,11.290344770209058,0.7694736842105263,950
+Momentum20,0.032906041190752196,7.643599896918254,0.6905263157894737,950
+Volatility20,0.012933507833629607,2.9995828096440342,0.5810526315789474,950
+LiquidityADV20,0.009724802393602482,2.216303584665567,0.56,950
+Beta60,0.010748085413776372,2.8370875122541865,0.5557894736842105,950
