horizon_days,rank_ic,abs_rank_ic
1,0.05208258630568855,0.05208258630568855
5,0.07135743415205645,0.07135743415205645
10,0.08199717221245603,0.08199717221245603
20,0.09538051271482499,0.09538051271482499
