Date,cum_hl
2020-01-03,0.001448248216984201
2020-01-06,-0.000775470247556241
2020-01-07,-0.0003142666113399805
2020-01-08,-0.0007177572663930611
2020-01-09,-0.0025430671660903004
2020-01-10,-0.004691202416965462
2020-01-13,-0.00859184195613827
2020-01-14,-0.005260837998313605
2020-01-15,-0.012416786084861176
2020-01-16,-0.020158929539078795
2020-01-17,-0.022772308848008745
2020-01-20,-0.023174702552634714
2020-01-21,-0.022326050537568372
2020-01-22,-0.026611621342629743
2020-01-23,-0.02487066539671812
2020-02-03,-0.02765535239438362
2020-02-04,-0.02351976473142402
2020-02-05,-0.026200113819161736
2020-02-06,-0.0303122618778027
2020-02-07,-0.03157169924303784
2020-02-10,-0.031171300414181265
2020-02-11,-0.032750096247623726
2020-02-12,-0.035394507486873394
2020-02-13,-0.036111408070886086
2020-02-14,-0.0352872267539964
2020-02-17,-0.03918186181016685
2020-02-18,-0.044433536237422196
2020-02-19,-0.04278874830933584
2020-02-20,-0.04515358395631042
2020-02-21,-0.04964000130833016
2020-02-24,-0.05338722311859035
2020-02-25,-0.05782586000155443
2020-02-26,-0.031663693176654004
2020-02-27,-0.0325745053576553
2020-02-28,-0.024222813834191434
2020-03-02,-0.019070412263262802
2020-03-03,-0.023734063936493195
2020-03-04,-0.01692902094766663
2020-03-05,-0.011536096554598812
2020-03-06,-0.012977799392952063
2020-03-09,-0.006060581465075142
2020-03-10,-0.006486523628303346
2020-03-11,-0.004833788210549493
2020-03-12,0.0020485016506262207
2020-03-13,0.0016120711479993347
2020-03-16,0.020471215484312626
2020-03-17,0.021425658663951404
2020-03-18,0.018052746444821965
2020-03-19,0.012813300425406248
2020-03-20,0.013889665915192351
2020-03-23,0.028759693017531864
2020-03-24,0.027332810804007276
2020-03-25,0.021509941579136202
2020-03-26,0.02021180510261484
2020-03-27,0.026055945999432492
2020-03-30,0.032778318065314525
2020-03-31,0.025309362213067434
2020-04-01,0.0283761250437449
2020-04-02,0.020902811701333096
2020-04-03,0.014942184680231802
2020-04-07,0.008872780587374209
2020-04-08,0.011737344539155509
2020-04-09,0.008116564427270795
2020-04-10,0.01426634207917562
2020-04-13,0.018928464306874948
2020-04-14,0.010217493186352473
2020-04-15,0.0118115350756297
2020-04-16,0.009636236075158231
