,rank_ic
2023-11-01,-0.07024378845903108
2023-11-02,-0.1163522232483077
2023-11-03,0.006021821085223343
2023-11-06,0.10261598149951578
2023-11-07,0.07577408995943055
2023-11-08,0.05436779368615025
2023-11-09,-0.15405318369883206
2023-11-10,0.054705901209303257
2023-11-13,-0.005457852503603342
2023-11-14,-0.014616741062707
2023-11-15,-0.09116836799198968
2023-11-16,-0.0806328139955238
2023-11-17,0.07585566391827438
2023-11-20,0.02237620309985087
2023-11-21,-0.1203067586000223
2023-11-22,-0.024584032970445653
2023-11-23,0.0018760570980822541
2023-11-24,0.018071096962426446
2023-11-27,-0.005432542016243159
2023-11-28,-0.02242379321914543
2023-11-29,0.022251242419858375
2023-11-30,-0.03201042773383918
2023-12-01,0.02481153775039356
2023-12-04,0.023346052602282737
2023-12-05,-0.04488384124994565
2023-12-06,-0.011372875142245135
2023-12-07,0.03624911021554506
2023-12-08,-0.08128765279974019
2023-12-11,0.03880496878857122
2023-12-12,-0.0830914910672822
2023-12-13,0.02378233609230644
2023-12-14,-0.0481004341722484
2023-12-15,-0.08143317987638156
2023-12-18,0.038355214871263844
2023-12-19,-0.005057470827634353
2023-12-20,-0.10084039318556501
2023-12-21,-0.0612048900524152
2023-12-22,-0.047515542155446455
2023-12-25,0.07801958583470518
2023-12-26,-0.056331089992198574
2023-12-27,-0.03286266231671224
2023-12-28,-0.08235309605887745
2023-12-29,-0.07604837507424864
2024-01-02,-0.18302166538681533
2024-01-03,-0.016252668421938867
2024-01-04,-0.1759108331900608
2024-01-05,-0.034610739043228075
2024-01-08,-0.056383917894667096
2024-01-09,0.03690231667010738
2024-01-10,0.09971737385429179
2024-01-11,-0.03216168316367473
2024-01-12,0.1539796479263051
2024-01-15,-0.0785135976952482
2024-01-16,0.13937654133998878
2024-01-17,-0.03189769881680072
2024-01-18,-0.00819575122807959
2024-01-19,-0.17398835452642172
2024-01-22,0.03179944253161112
2024-01-23,0.07606252936667517
2024-01-24,-0.10218040214715834
2024-01-25,-0.13668839277629977
2024-01-26,-0.06725494383625429
2024-01-29,0.028440095795895334
2024-01-30,0.04352532378939181
2024-01-31,0.09719102112101213
2024-02-01,0.0423946615304173
2024-02-02,0.2402342448822007
2024-02-05,0.18835165531142048
2024-02-06,0.1765256910079951
2024-02-07,0.3407200443218456
2024-02-08,-0.6141951153996567
2024-02-19,-0.3598361825481868
2024-02-20,-0.1349915216548352
2024-02-21,-0.2156761797929461
2024-02-22,-0.0807480650604142
2024-02-23,-0.12163455489898299
2024-02-26,-0.08885578658765407
2024-02-27,0.012071004621542593
2024-02-28,0.036976338942569895
2024-02-29,-0.12930717250374674
2024-03-01,-0.08933107568053907
