horizon_days,rank_ic,abs_rank_ic
1,0.01897486327766969,0.01897486327766969
5,0.02622590930559518,0.02622590930559518
10,0.028203344417758045,0.028203344417758045
20,0.029819965674363794,0.029819965674363794
