mode,rank_ic,icir,ic_pos_ratio,n_days,monthly_rank_ic,monthly_icir,ic_retention_vs_raw
raw,-0.028142273895866092,-4.805637218243157,0.3489394723228143,3866,-0.056262873295776,-2.3004708585582994,1.0
size,-0.033515179656109825,-6.823437175528667,0.3152965660770031,1922,-0.06308603341814699,-2.8286616558894195,1.1909193898163637
industry,-0.029624495131624157,-7.816728052445181,0.2840440165061898,1454,-0.05338850182175579,-2.915420227504922,1.0526688511824835
size_industry,-0.02946605623608115,-8.652438356177752,0.2730398899587345,1454,-0.05291344093872141,-3.328831054525693,1.0470389260339588
