knife,role,ic_series_corr_vs_ats,rank_ic,icir,n_overlap_days
ats_trade_count,benchmark,1.0,-0.03379564434302013,-6.483878973616674,1703
amount,proxy,0.7574752639442454,-0.036808472625969896,-6.3385194284566175,1722
volume,proxy,0.7314213210715501,-0.03705291204409538,-6.254645598470967,1722
turnover_proxy,proxy,0.7055751864721302,-0.035916962611170354,-6.188717454301058,1722
ats_volume,proxy,0.4606742111522899,-0.024376414615586154,-4.7328884308025545,1722
