,mean_ret
1,-0.0005819846448668885
2,1.7479394693056001e-06
3,0.000180609485257314
4,0.000408585544071636
5,0.0005196216097864604
6,0.0004079176820678733
7,0.0005810280983126624
8,0.0005787071503081722
9,0.0007518300317087221
10,0.000974200003537484
