q,mean_ret,n_days,mean_n
1,0.0004911021940395673,726,510.6115702479339
2,0.0008615623413986411,726,508.9710743801653
3,0.0007709719753151346,726,508.44628099173553
4,0.0008222538537148648,726,508.62258953168043
5,0.0008911742934389522,726,508.8030303030303
6,0.0008142173050437184,726,508.39531680440774
7,0.0007342883469468927,726,508.3526170798898
8,0.0006722825401680911,726,508.7685950413223
9,0.0005071226827873965,726,508.5495867768595
10,8.209232521808865e-05,726,509.07300275482095
