,mean_ret
1,0.0011016171488659311
2,0.0011785685661373803
3,0.001101931700357585
4,0.0010390413097841687
5,0.0009350604828038382
6,0.0008054929913712968
7,0.0007466773020834991
8,0.0006550094797961157
9,0.0003389464265435146
10,-0.0009910301646858385
