mode,rank_ic,icir,hl_sharpe,hl_annu_ret,hl_mdd,daily_turnover_hl,implied_annu_fee,gross_sharpe_tradable,net_sharpe_15bp,long_book_excess_sharpe,long_book_excess_annu_ret,long_book_excess_mdd,long_group,selected_count_mean,universe_count_mean,annu_one_way_turnover,direction,monotonicity_spearman
raw,0.04300992457045369,6.979512239654615,2.768625587644667,0.3687197446263754,-0.18987277489510646,0.64709891384379,0.12133104634571062,2.876382514712573,0.9958788369800717,1.2392604020031934,0.09291352530477491,-0.1307906775846917,10,478.1608832807571,4777.134595162986,67.33151587236978,1,0.9878787878787878
size,0.044334876874853574,8.669050579925067,3.5180176488054418,0.36751587658049184,-0.07617237099312342,0.6517982388269535,0.12221216978005377,4.032954565923707,1.5068526605473318,1.788653344091376,0.09303616337083911,-0.05884159537195559,10,478.1608832807571,4777.134595162986,67.49264289898706,1,0.9999999999999999
industry,0.04075142520381144,8.896414659499172,3.1893448668557314,0.34989262028703416,-0.15866523429056373,0.6437016347305948,0.12069405651198652,3.524051646536273,1.163277212313254,1.473630633334721,0.08599830168996565,-0.10823807879103652,10,478.1619348054679,4777.134595162986,67.40348801451822,1,0.9878787878787878
size_industry,0.041524943072059756,11.28716499138889,4.0558701848128855,0.3526937998687888,-0.060401526757168894,0.6457686192234467,0.12108161610439627,5.035432690979669,1.7189540950676885,2.1602281331858886,0.08805225441287884,-0.050406714261003585,10,478.1608832807571,4777.134595162986,67.30432404757384,1,0.9878787878787878
