,mean_ret
1,0.0007816758509900963
2,0.0007017017211217422
3,0.000667803352761021
4,0.0006625211824260156
5,0.000563613060012283
6,0.0006260948219106157
7,0.0006501777586268803
8,0.0004962951636081677
9,8.624498507016954e-05
10,-0.00032341669228071646
