year,rank_ic,abs_icir,ic_pos_frac,hl_net_sharpe,hl_gross_sharpe,daily_turnover,n_days,year_works
2023,-0.04065402095154214,7.722089926273668,0.33195020746887965,-2.9204721964469313,0.7544083814086595,1.1209599224385247,241,False
2024,-0.04130139829284706,4.9086801858639335,0.31950207468879666,-0.23975416200229382,1.782070183329838,1.1357225970530938,241,False
2025,-0.05381076368358729,6.536999697059168,0.30578512396694213,-0.45714112531787604,2.448527325255262,1.1521813745160518,242,False
