,SmartMoney10d,TGD20,D1,FlowDensity20
SmartMoney10d,1.0,-0.288213099080561,-0.5193695135659393,-0.1276815991341948
TGD20,-0.288213099080561,1.0,0.47350897364514644,0.38161994643773856
D1,-0.5193695135659393,0.47350897364514644,1.0,0.6178670901634655
FlowDensity20,-0.1276815991341948,0.38161994643773856,0.6178670901634655,1.0
