,cum_hl
2023-11-01,0.006837918675082861
2023-11-02,0.010413479032534253
2023-11-03,0.024817807984226094
2023-11-06,0.02599397605867023
2023-11-07,0.021134645254339442
2023-11-08,0.01954895245941047
2023-11-09,0.043067977036765244
2023-11-10,0.04066335837314964
2023-11-13,0.044273480838827685
2023-11-14,0.04008292783283033
2023-11-15,0.046769838801688904
2023-11-16,0.04448846120031191
2023-11-17,0.042791459654900804
2023-11-20,0.03647745362159758
2023-11-21,0.049999164204809515
2023-11-22,0.0501519449486494
2023-11-23,0.062237034734834995
2023-11-24,0.06147095019320598
2023-11-27,0.06715289064516913
2023-11-28,0.06712097307690505
2023-11-29,0.06706391107047495
2023-11-30,0.06943350595687497
2023-12-01,0.07001793542177208
2023-12-04,0.06162366342713002
2023-12-05,0.057165223180380455
2023-12-06,0.057614726264998285
2023-12-07,0.06113275033259204
2023-12-08,0.07552764921834981
2023-12-11,0.07344419794719748
2023-12-12,0.06813797984374195
2023-12-13,0.06237206301090935
2023-12-14,0.06316824478504307
2023-12-15,0.06629299801031124
2023-12-18,0.06200940631196426
2023-12-19,0.07016155314478728
2023-12-20,0.073058726269632
2023-12-21,0.08125838336280519
2023-12-22,0.09422948956400783
2023-12-25,0.09095584422654125
2023-12-26,0.08438063498156756
2023-12-27,0.09442787495165283
2023-12-28,0.11609656754229639
2023-12-29,0.11900403672289597
2024-01-02,0.11528863808422038
2024-01-03,0.11769962175500327
2024-01-04,0.11911131742720375
2024-01-05,0.11879550035117112
2024-01-08,0.11282878202563787
2024-01-09,0.10682554640850807
2024-01-10,0.10110957996898491
2024-01-11,0.12029179260280215
2024-01-12,0.1093211195487993
2024-01-15,0.10563385628344873
2024-01-16,0.0958273846025744
2024-01-17,0.0921244364711946
2024-01-18,0.09532084421445283
2024-01-19,0.10359788737159711
2024-01-22,0.08522602982732808
2024-01-23,0.08522417308285422
2024-01-24,0.07720231337201776
2024-01-25,0.09482668143921985
2024-01-26,0.0834599259563833
2024-01-29,0.07023672616318626
2024-01-30,0.06033283664422488
2024-01-31,0.02350472698472618
2024-02-01,0.0301896120316908
2024-02-02,-0.010061484759806637
2024-02-05,-0.09173195463522202
2024-02-06,-0.09443142529796454
2024-02-07,-0.16410814810972468
2024-02-08,-0.058138668266770735
2024-02-19,-0.007648098668285308
2024-02-20,0.012780757898128006
2024-02-21,0.055168854347233225
2024-02-22,0.0881667961581836
2024-02-23,0.13316131429057548
2024-02-26,0.16953776980263682
2024-02-27,0.18717783689712209
2024-02-28,0.14358111818263905
2024-02-29,0.15876802133322745
2024-03-01,0.1630105900290608
2024-03-04,0.1465900614134027
2024-03-05,0.13030454244897155
2024-03-06,0.1472808712651257
2024-03-07,0.1745796972837289
2024-03-08,0.1572597730353621
2024-03-11,0.17036443158559655
2024-03-12,0.19616925213601766
2024-03-13,0.1845356158511983
2024-03-14,0.199577276288472
2024-03-15,0.19102109199759218
2024-03-18,0.17070747848784065
2024-03-19,0.17191357897920145
2024-03-20,0.16030394458831856
2024-03-21,0.15597061083382552
2024-03-22,0.15226941982320766
2024-03-25,0.17923162875159304
2024-03-26,0.18414442720959084
2024-03-27,0.18363063693064238
2024-03-28,0.1716307552769263
2024-03-29,0.1737026831986146
2024-04-01,0.18786198475718147
2024-04-02,0.17528809305009302
2024-04-03,0.17029683732916587
2024-04-08,0.1743322129402924
2024-04-09,0.1836887575099756
2024-04-10,0.17419491241790702
2024-04-11,0.17931466156374404
2024-04-12,0.17341600165723847
2024-04-15,0.163573888372132
2024-04-16,0.11317925091052816
2024-04-17,0.19020434887511528
2024-04-18,0.18604727383630235
2024-04-19,0.16302398474561472
2024-04-22,0.16852125029307485
2024-04-23,0.20795922048849266
2024-04-24,0.23605782402963368
2024-04-25,0.23973699763168155
2024-04-26,0.2599425498581389
2024-04-29,0.2974710190147106
2024-04-30,0.28866732953324337
2024-05-06,0.284914224383236
2024-05-07,0.290768640049256
2024-05-08,0.2813158595068345
