,rank_ic
2023-11-01,0.023040966431407673
2023-11-02,0.05225721707300034
2023-11-03,0.2372920979573579
2023-11-06,0.12842649997271988
2023-11-07,-0.09200492224930625
2023-11-08,0.011079103255042086
2023-11-09,0.27843435769790187
2023-11-10,-0.11370303602273886
2023-11-13,0.028626396452450315
2023-11-14,0.05394737230298452
2023-11-15,0.20182504196250864
2023-11-16,-0.02748691953806837
2023-11-17,-0.058611699392271205
2023-11-20,-0.06452673310670552
2023-11-21,0.2687617317250801
2023-11-22,0.018942400946349046
2023-11-23,0.06680776133068338
2023-11-24,0.016250957162291742
2023-11-27,0.04296053475349216
2023-11-28,-0.005720934513001727
2023-11-29,-0.0717110257710005
2023-11-30,0.0910998583848646
2023-12-01,0.02437069244210543
2023-12-04,-0.1241949094641712
2023-12-05,-0.06472089815640104
2023-12-06,-0.013793343805814238
2023-12-07,0.013725217715402523
2023-12-08,0.2597481866353279
2023-12-11,-0.011533930878293576
2023-12-12,-0.08084086389171773
2023-12-13,-0.12407911819907752
2023-12-14,-0.07017746429410353
2023-12-15,0.08680567280384603
2023-12-18,-0.11579933803924598
2023-12-19,0.21351719111815037
2023-12-20,-0.035385757136450396
2023-12-21,0.11836607638975817
2023-12-22,0.06987259332865672
2023-12-25,0.0220867221468503
2023-12-26,-0.13703752210840037
2023-12-27,0.12977389849407678
2023-12-28,0.29597584162458296
2023-12-29,0.1336429212848188
2024-01-02,-0.09371803379301749
2024-01-03,-0.06467975852326953
2024-01-04,-0.0544697315512491
2024-01-05,-0.10183074218944035
2024-01-08,-0.19000771531384056
2024-01-09,-0.16101415744176495
2024-01-10,-0.16882042846330214
2024-01-11,0.3648840192879367
2024-01-12,-0.30227817055847706
2024-01-15,-0.04175463184887661
2024-01-16,-0.2013069228120939
2024-01-17,-0.18212536189994838
2024-01-18,0.1928877010256174
2024-01-19,-0.01756100468094823
2024-01-22,-0.1895864477018362
2024-01-23,-0.025164157469190346
2024-01-24,-0.16793363697278146
2024-01-25,0.2170570434587448
2024-01-26,-0.26641032025905903
2024-01-29,-0.21685694181877826
2024-01-30,-0.2070654107845727
2024-01-31,-0.37061658328433006
2024-02-01,0.02804192706101907
2024-02-02,-0.40566786848963754
2024-02-05,-0.45657246318519756
2024-02-06,-0.12477894446495913
2024-02-07,-0.4609686440917217
2024-02-08,0.6794950226916164
2024-02-19,0.5532128896596378
2024-02-20,0.383410952693316
2024-02-21,0.5415730790435368
2024-02-22,0.5558529626081553
2024-02-23,0.6479021267654897
2024-02-26,0.5095875900781863
2024-02-27,0.3396618529223125
2024-02-28,-0.45500722069584815
2024-02-29,0.2831554163830916
2024-03-01,0.1074792642590819
2024-03-04,-0.16205580314562631
2024-03-05,-0.33349293636016575
2024-03-06,0.32396001601204427
2024-03-07,0.34453839603141784
2024-03-08,-0.2256263858129543
2024-03-11,0.21200142268467112
2024-03-12,0.30657887675872425
2024-03-13,-0.22716049391985893
2024-03-14,0.30886621066787107
2024-03-15,-0.18223828298626218
2024-03-18,-0.32811150455558746
2024-03-19,-0.06423385401824384
2024-03-20,-0.18591726659422075
2024-03-21,-0.044942435310277716
2024-03-22,0.01390096433026977
2024-03-25,0.2679380211323709
2024-03-26,0.0538367272402513
2024-03-27,-0.0028406886387950837
2024-03-28,-0.1696167638599904
2024-03-29,-0.06222922368844265
2024-04-01,0.2049078325792488
2024-04-02,-0.1860001597728638
2024-04-03,-0.09102081413063667
2024-04-08,0.053581480128594774
2024-04-09,0.09658376608412765
2024-04-10,-0.10283437401325787
2024-04-11,-0.018438070455806733
2024-04-12,-0.11536026374970511
2024-04-15,-0.041373568797577316
2024-04-16,-0.35572850037164033
2024-04-17,0.6495479356926932
2024-04-18,-0.09748339395621404
2024-04-19,-0.36201177927542166
2024-04-22,0.014930809535967326
2024-04-23,0.5157133898109524
2024-04-24,0.40485960467187815
2024-04-25,0.06967319791214245
2024-04-26,0.2823875077834677
2024-04-29,0.4326792428074821
2024-04-30,-0.14805909158238892
2024-05-06,-0.0040943041664831285
2024-05-07,0.15137840313651263
2024-05-08,-0.2223148839864655
2024-05-09,0.17883919687325164
2024-05-10,-0.14118822592836874
2024-05-13,-0.40641431031756986
2024-05-14,0.25264155674060346
2024-05-15,0.10674069338899009
2024-05-16,0.20420332821144394
2024-05-17,0.01675925266258045
2024-05-20,0.10629434283170464
2024-05-21,-0.00638354319063286
2024-05-22,0.05986214554272606
2024-05-23,0.06714831954269049
2024-05-24,0.08061240124592908
2024-05-27,0.07241942330651975
2024-05-28,0.020749278789707996
2024-05-29,0.07258659156100772
2024-05-30,0.27435029346317086
2024-05-31,0.2858075046656203
2024-06-03,-0.06438184379559617
2024-06-04,-0.20393199824988914
2024-06-05,-0.06310930649295951
2024-06-06,-0.42527188106141034
2024-06-07,0.4439445882763549
2024-06-11,0.08546706832905658
2024-06-12,0.2927371431978754
2024-06-13,-0.13835349483100476
2024-06-14,0.05053084280683319
2024-06-17,-0.29253937602660396
2024-06-18,0.21302784627328505
2024-06-19,0.1399451099746037
2024-06-20,-0.17117745092518727
2024-06-21,-0.010995356864193184
2024-06-24,-0.22770543521808065
2024-06-25,0.23693559739766307
2024-06-26,0.3034826921024363
2024-06-27,-0.024549871326404606
2024-06-28,-0.0565005267413331
2024-07-01,0.1458686987924661
2024-07-02,0.158689188295984
2024-07-03,0.054854201664986904
2024-07-04,-0.0540154813799537
2024-07-05,0.07479915153493827
2024-07-08,-0.03862801284302817
2024-07-09,-0.1207106465221982
2024-07-10,0.059535689219643625
2024-07-11,0.306710087712616
2024-07-12,0.0010235519275491566
2024-07-15,-0.09425810197918028
2024-07-16,0.012768966131430401
2024-07-17,0.031631721620069345
2024-07-18,-0.0796220455285599
2024-07-19,0.32432237535310426
2024-07-22,0.19901482038849355
2024-07-23,-0.1535088395689012
2024-07-24,-0.0883998402336151
2024-07-25,0.08630430586992073
2024-07-26,0.18085556152274473
2024-07-29,-0.06279605037605092
2024-07-30,-0.005322960728740525
2024-07-31,0.3332276210325829
2024-08-01,-0.1331497228689833
2024-08-02,0.11354737548777163
2024-08-05,0.061446634300827835
2024-08-06,-0.007875104542906205
2024-08-07,0.2165755929242518
2024-08-08,-0.029707542020334512
2024-08-09,0.22724043681699851
2024-08-12,0.009865549993575319
2024-08-13,0.17975549953523082
2024-08-14,0.0016633449611161148
2024-08-15,0.04926423796663468
2024-08-16,0.05519873515730005
2024-08-19,0.02353822721021034
2024-08-20,-0.04394028246471707
2024-08-21,0.14049684340812316
2024-08-22,0.08629846678757853
2024-08-23,0.0608063180530533
2024-08-26,0.057653125831451164
2024-08-27,-0.11807027611104777
2024-08-28,0.07609787038791353
2024-08-29,0.278004827726877
2024-08-30,0.2692714439058209
2024-09-02,-0.27354206893174965
2024-09-03,0.033903734237863144
2024-09-04,0.11759641983618413
2024-09-05,0.21340131579818014
2024-09-06,0.014310800226613624
2024-09-09,0.07426106111940649
2024-09-10,-0.06075536084665797
2024-09-11,0.07134667454267116
2024-09-12,-0.025499981348855495
2024-09-13,-0.043227082459353215
2024-09-18,-0.059828625403608414
2024-09-19,0.09418297721095148
2024-09-20,-0.1048275105270996
2024-09-23,0.08251546520277997
2024-09-24,0.30584500321983216
2024-09-25,0.06747691532741916
2024-09-26,0.09275918316979764
2024-09-27,0.036432864808227744
2024-09-30,-0.0946049867856296
2024-10-08,-0.2995644139894939
2024-10-09,0.4771248109174935
2024-10-10,0.4636242021547745
2024-10-11,0.3397664417621289
2024-10-14,-0.1644310176990196
2024-10-15,0.0377914900793445
2024-10-16,0.08749026297370642
2024-10-17,-0.0655765168080243
2024-10-18,-0.15743960125830717
2024-10-21,-0.2598439868158329
2024-10-22,0.37021732771595034
2024-10-23,0.21724024405449652
2024-10-24,0.2257979993815375
2024-10-25,-0.021564845229763888
2024-10-28,0.02585067385474644
2024-10-29,0.224557811535346
2024-10-30,0.023773647887843183
2024-10-31,-0.18776073683256464
2024-11-01,0.5640777380738327
2024-11-04,0.04226961734866283
2024-11-05,-0.12330204620806832
2024-11-06,0.04034886242909747
2024-11-07,0.18491815775533735
2024-11-08,0.05601326777642014
2024-11-11,-0.10711540444660893
2024-11-12,0.33813357387462
2024-11-13,0.22351059210179533
2024-11-14,0.35377359191546365
2024-11-15,0.2778012342402972
2024-11-18,0.13539568220338424
2024-11-19,0.17447547346517317
2024-11-20,-0.07013798298020262
2024-11-21,0.03894328117783852
2024-11-22,-0.005733051068824589
2024-11-25,-0.016927259449553284
2024-11-26,0.16371356947193244
2024-11-27,0.14874245698918157
2024-11-28,0.002376335177878508
2024-11-29,0.10387717493947143
2024-12-02,0.06471396205115292
2024-12-03,0.09995819728429536
2024-12-04,0.14135328530034058
2024-12-05,-0.02339263780074563
2024-12-06,0.20838277821420784
2024-12-09,-0.08860333904050108
2024-12-10,0.1817204516889967
2024-12-11,-0.035897719857278486
2024-12-12,0.031549767651760215
2024-12-13,-0.09171127279395316
2024-12-16,-0.07422987283182939
2024-12-17,0.5363278796294637
2024-12-18,0.07821167517784025
2024-12-19,0.14001049882691993
2024-12-20,0.04819591043491362
2024-12-23,0.2787374617729488
2024-12-24,-0.08793055609905273
2024-12-25,-0.1394243300784128
2024-12-26,-0.02946115736810382
2024-12-27,0.32375827880608976
2024-12-30,-0.10316615578394506
