horizon,rank_ic,abs_rank_ic,icir,abs_icir,ic_pos_frac,n_days
1,-0.04526507990453602,0.04526507990453602,-6.088166333926788,6.088166333926788,0.31911966987620355,727
3,-0.04953509650183243,0.04953509650183243,-6.741564312935958,6.741564312935958,0.31361760660247595,727
5,-0.051174217571529915,0.051174217571529915,-6.821777140356518,6.821777140356518,0.3218707015130674,727
10,-0.054876001610756606,0.054876001610756606,-7.357749947198459,7.357749947198459,0.3081155433287483,727
20,-0.05754887623875092,0.05754887623875092,-7.839489639891698,7.839489639891698,0.30949105914718017,727
