label,stage,rank_ic,icir,gross_sharpe,gross_annu_ret,net_sharpe,net_annu_ret,mdd_net,daily_turnover,annu_one_way_turnover,implied_annu_fee,direction,n_days,rebalance_freq,top_frac,entry_frac,exit_frac,min_hold,weight_method,round_trip_cost
lowQ|daily,E1_rebalance,0.04533758890337707,6.094560582069289,1.6837011497517773,0.27438139083642005,-0.9319279224363043,-0.15228114474313506,-0.3824655317563793,1.1377667615454803,142.22084519318503,0.21333126778977754,1,727,1,0.1,,,1,ew,0.0015
lowQ|every_5d,E1_rebalance,0.03782930961296429,5.145741566442588,1.3319265223745254,0.19276108645457896,-0.10127503390308913,-0.01481958426723897,-0.20844013259904118,0.5535484552581806,69.19355690727258,0.10379033536090887,1,727,5,0.1,,,1,ew,0.0015
lowQ|every_10d,E1_rebalance,0.026764389682010874,3.69546355790092,0.7309994199169033,0.10151358122842184,-0.15531971448411858,-0.021914463776904158,-0.20657621105089952,0.32914145334753553,41.14268166844194,0.06171402250266291,1,727,10,0.1,,,1,ew,0.0015
lowQ|every_20d,E1_rebalance,0.024353187381826263,3.7313652578780045,0.44683557469768675,0.057536024392530416,-0.053393929013223054,-0.0069461762346849166,-0.19034306596279782,0.17195253500590774,21.49406687573847,0.0322411003136077,1,727,20,0.1,,,1,ew,0.0015
lowQ|weekly_friday,E1_rebalance,0.03380855698999897,4.671803058892384,0.5875406608776115,0.08257930794515402,-0.8452452874885822,-0.12279419845638036,-0.32898493714567345,0.5476626837374251,68.45783546717814,0.10268675320076721,1,727,friday,0.1,,,1,ew,0.0015
lowQ|daily|buffer_5_15,E2_buffer,0.04533758890337707,6.094560582069289,1.709662430534382,0.2872929389973498,-0.07045020871125371,-0.01186793900039426,-0.25011869649586577,0.7977623413273169,99.72029266591461,0.1495804389988719,1,727,1,0.1,0.05,0.15,1,ew,0.0015
lowQ|every_5d|buffer_5_15,E2_buffer,0.03782930961296429,5.145741566442588,1.344168983838446,0.2221694620828873,0.284116064939164,0.047313591317329325,-0.230974836504799,0.466282322041488,58.285290255186,0.08742793538277899,1,727,5,0.1,0.05,0.15,1,ew,0.0015
lowQ|every_10d|buffer_5_15,E2_buffer,0.026764389682010874,3.69546355790092,0.7567226501763304,0.12350322125166825,0.0792658226292063,0.013076050922429572,-0.2119582257882575,0.29447245421130314,36.809056776412895,0.055213585164619335,1,727,10,0.1,0.05,0.15,1,ew,0.0015
lowQ|daily|buffer_10_20,E2_buffer,0.04533758890337707,6.094560582069289,1.6061407672707642,0.23955429169884973,-0.2957956207128569,-0.04423768597452679,-0.23339629229108383,0.7567786071290035,94.59732589112544,0.14189598883668816,1,727,1,0.1,0.1,0.2,1,ew,0.0015
lowQ|every_5d|buffer_10_20,E2_buffer,0.03782930961296429,5.145741566442588,1.2789666880005655,0.17881616763946973,0.11391844867407055,0.016039801139183008,-0.18828498391287365,0.4340703106674309,54.258788833428866,0.0813881832501433,1,727,5,0.1,0.1,0.2,1,ew,0.0015
lowQ|every_10d|buffer_10_20,E2_buffer,0.026764389682010874,3.69546355790092,0.6303446560599238,0.0861283716842828,-0.1285470018732146,-0.01776838740666,-0.21399666446112872,0.27705802424251463,34.63225303031433,0.05194837954547149,1,727,10,0.1,0.1,0.2,1,ew,0.0015
lowQ|daily|buffer_10_30,E2_buffer,0.04533758890337707,6.094560582069289,1.5413043827467128,0.21755717299048333,-0.03646848162668798,-0.005159919166422859,-0.1980338472070347,0.5939122457517505,74.2390307189688,0.1113585460784532,1,727,1,0.1,0.1,0.3,1,ew,0.0015
lowQ|every_5d|buffer_10_30,E2_buffer,0.03782930961296429,5.145741566442588,1.3089727149846426,0.17442891114537687,0.309507671864034,0.04139508153872647,-0.1651993753192394,0.35475687895106844,44.34460986888355,0.06651691480332533,1,727,5,0.1,0.1,0.3,1,ew,0.0015
lowQ|every_10d|buffer_10_30,E2_buffer,0.026764389682010874,3.69546355790092,0.6222321504196953,0.08164081736381876,-0.03744273183501182,-0.004956044000761407,-0.191242861528921,0.2309249636388804,28.86562045486005,0.04329843068229008,1,727,10,0.1,0.1,0.3,1,ew,0.0015
