,mean_ret
1,0.0008014835719324732
2,0.0008801060004089129
3,0.0008596892108911294
4,0.0008749346636574421
5,0.0008551403024453
6,0.0007711709194037738
7,0.0008598376385680155
8,0.0006071862216861008
9,0.0005380967245234013
10,-5.837879200083884e-05
