year,n,rank_ic,icir
2010,0,,
2011,0,,
2012,0,,
2013,0,,
2014,0,,
2015,0,,
2016,0,,
2017,0,,
2018,4,,
2019,244,-0.040625911682932794,-8.943155566866935
2020,243,-0.023001604579180462,-6.407706828663778
2021,243,-0.02687591579132345,-7.591303636574549
2022,242,-0.0266861535759995,-9.594396998945308
2023,242,-0.037341962700038804,-14.702754743637566
2024,242,-0.023838202429335185,-5.744139021689795
2025,243,-0.0382391420147577,-10.744411659978425
