leg,rank_ic,icir,ic_pos_ratio,n_days
high,-0.043020500637513226,-5.734008727359026,0.34879624192601294,1703
low,0.00204885173027935,0.32497775278825736,0.53904873752202,1703
spread,-0.03379564434302013,-6.483878973616674,0.3141514973576042,1703
