universe,rank_ic,icir,n_days
ALL,-0.031059358532593513,-8.60109085646627,1703
CSI300,-0.019022936813802904,-2.9520060248045716,1703
CSI500,-0.02257695699494787,-4.180621853310848,1703
CSI1000,-0.028491075888501145,-6.386793085177669,1703
