,rank_ic
2018-12-28,-0.1114315490608325
2019-01-31,0.18641930058326098
2019-02-28,-0.04456792220740984
2019-03-29,-0.20020098811073855
2019-04-30,-0.07512110880328769
2019-05-31,-0.14667414835360026
2019-06-28,-0.15617438220483926
2019-07-31,-0.0010517627441986217
2019-08-30,-0.07351757111233394
2019-09-30,-0.1456126845554055
2019-10-31,-0.04696723647888054
2019-11-29,0.005331730657219231
2019-12-31,-0.009844656300177624
2020-01-23,0.020427366856640927
2020-02-28,-0.18863412151909395
2020-03-31,-0.09148299740899823
2020-04-30,-0.06006819944354509
2020-05-29,0.004644055585812277
2020-06-30,-0.06083758171676843
2020-07-31,-0.06834653916308842
2020-08-31,-0.08266962249550246
2020-09-30,0.009984857699227084
2020-10-30,-0.10458508722470837
2020-11-30,-0.04396099570337414
2020-12-31,-0.09171029995516831
2021-01-29,-0.07939372083206735
2021-02-26,-0.06118090735035282
2021-03-31,-0.09027806806800287
2021-04-30,0.10342005801648413
2021-05-31,-0.061392891936239896
2021-06-30,0.002998323743334953
2021-07-30,-0.03358565971630113
2021-08-31,-0.12778116690014352
2021-09-30,-0.06631774323040435
2021-10-29,-0.0742883384875265
2021-11-30,-0.1072237918972007
2021-12-31,-0.11734189762230397
2022-01-28,-0.025540384247033143
2022-02-28,-0.013591504333717074
2022-03-31,-0.10312479413875154
2022-04-29,-0.0446918651710401
2022-05-31,-0.04496209692062218
2022-06-30,-0.057358183991924834
2022-07-29,-0.1268211210880847
2022-08-31,-0.04660277902640435
2022-09-30,-0.0334917058334062
2022-10-31,-0.06546195613296059
2022-11-30,-0.06652036881898794
2022-12-30,-0.09771635817152262
2023-01-31,-0.07790515122300293
2023-02-28,-0.04215652125108371
2023-03-31,-0.008615037247189216
2023-04-28,-0.050931424837682523
2023-05-31,0.008907164258512122
2023-06-30,-0.14496605191992523
2023-07-31,-0.04477793278442461
2023-08-31,-0.07119746959299618
2023-09-28,-0.0023788891113589237
2023-10-31,-0.044443931035377485
2023-11-30,-0.02723199262635097
2023-12-29,-0.017388336123330638
2024-01-31,-0.07002111677252237
2024-02-29,0.17343257975439022
2024-03-29,-0.100881851640949
2024-04-30,0.02231107055734037
2024-05-31,-0.0050322269735443405
2024-06-28,-0.048018386606632296
2024-07-31,-0.033773283736494124
2024-08-30,-0.04712625796610002
2024-09-30,0.025009279117838075
2024-10-31,-0.13012079181155461
2024-11-29,-0.1158469258967251
2024-12-31,-0.069644804983505
2025-01-27,-0.03454541328825505
2025-02-28,-0.12623155127677513
2025-03-31,-0.03956416257480558
2025-04-30,-0.0012542970932477898
2025-05-30,-0.05574532637060019
2025-06-30,-0.06430023764465849
2025-07-31,-0.020990882094220426
2025-08-29,-0.06355541788410267
2025-09-30,-0.1149985491199074
2025-10-31,-0.0072133214242933955
2025-11-28,-0.11016877078193937
