regime,n,rank_ic,icir
2010_2014,0,,
2015_2016_bull_crash,0,,
2017_2019,248,-0.0412019737689024,-9.095886164018355
2020_2021,485,-0.025335845630877284,-7.1897181686333695
2022_bear,241,-0.026924352206682635,-9.694405115147486
2023_2025,726,-0.03312252339505098,-9.456077813251678
