column,n,n_finite,pct_nan,mean,std,min,p01,p50,p99,max,mean_daily_cs_std,min_daily_cs_std
alpha_on,97375,97185,0.0019512195121951237,-0.0007033833066932233,0.01748027656409926,-0.9729737079285794,-0.045842807729684916,0.00038604461701108317,0.031799210776692816,0.20442918349200978,0.017072870090305,0.012364431884306528
alpha_pm,97375,96793,0.005976893453145005,0.003191873569706843,0.014837848307514133,-0.2926961915541494,-0.030417501268362485,0.0029309165013434724,0.0403595380912123,0.4465791649231049,0.01120825230973664,0.008649826952306814
delta_alpha,97375,96768,0.006233632862644445,-0.003905476241938417,0.02289275306394345,-0.9035111804422321,-0.06317199136652901,-0.0029669919109189813,0.041037702201296135,0.35165419325179526,0.02055511379343363,0.016603648870199335
