date,symbol,apm_stat,ret20,apm_cs,alpha_on,alpha_pm,delta_alpha
2024-06-03,000001.SZ,-0.4478663166349122,0.009913294405836326,-0.23543397355015905,0.0017529604072273886,0.016913083410367125,-0.015160123003139736
2024-06-03,600710.SH,1.0899938744578277,-0.022977340696243576,1.4141185110701195,0.007920008207413898,-0.0019473153392516318,0.00986732354666553
2024-06-03,600711.SH,-1.3973471882031712,-0.27899433109802696,-0.20382234842530433,-0.011523367225535819,0.0123385179940817,-0.023861885219617518
2024-06-03,600712.SH,0.808144749947304,-0.09281924894789984,1.369443369146333,-0.0018943823490262801,0.0123385179940817,-0.01423290034310798
2024-06-03,600713.SH,0.059547489884157305,-0.049440277010063705,0.4735367959134546,0.0008528703982265684,0.0123385179940817,-0.01148564759585513
2024-06-03,600714.SH,0.6974597280066718,0.07848461951182606,0.6770328226293554,0.005631842919134766,0.007332260171803884,-0.0017004172526691175
2024-06-03,600715.SH,0.6058029530945731,0.0022564395161018824,0.8442369735926003,-0.016001062186043136,0.0123385179940817,-0.028339580180124835
2024-06-03,600716.SH,0.2661116425698193,-0.0697863421324385,0.7491935237569309,0.004289296515065044,0.019430716575641882,-0.015141420060576838
2024-06-03,600717.SH,-0.6556874404167349,-0.03890049258219652,-0.27748986332124226,-0.0036618022880036127,0.02155510785583281,-0.025216910143836424
2024-06-03,600718.SH,0.4127412103090869,-0.06042169186052715,0.8640219644061677,0.0008528703982265684,0.0023883923783943883,-0.00153552198016782
2024-06-03,600719.SH,0.08860229282398825,0.17296216726289682,-0.25265800365155455,-0.030726076970194582,0.0054577840491275564,-0.03618386101932214
2024-06-03,600720.SH,-1.0489926023618803,-0.13664181980709744,-0.33887826609488436,0.0008528703982265684,0.009210259391370657,-0.008357388993144088
2024-06-03,600721.SH,-0.17583422768207096,-0.08958202266324111,0.3744711945999942,0.0008528703982265684,0.014111567639471967,-0.013258697241245399
2024-06-03,600722.SH,-0.9890575287364882,-0.11517347214510232,-0.35184689229689936,-0.0014890499764806941,0.017145969917158443,-0.018635019893639138
2024-06-03,600724.SH,-0.3711048872896623,-0.07579061845239377,0.13236673070452265,0.0008528703982265684,0.0123385179940817,-0.01148564759585513
2024-06-03,600725.SH,-0.5050170029097515,0.02010889069878108,-0.3272075708848051,-0.009180574417827048,0.0157398785382995,-0.02492045295612655
2024-06-03,600726.SH,0.6286436456858879,-0.05301880792533298,1.0547851745027699,-0.003651634106278001,0.017011415190343215,-0.020663049296621216
2024-06-03,600727.SH,-2.748356053210406,-0.20468651760329493,-1.8071708259235846,-0.004837030028515987,0.01961653837253874,-0.024453568401054726
2024-06-03,600728.SH,-0.1638121026724391,-0.13925948505432317,0.5551914822892859,0.005815649554553937,0.0123385179940817,-0.0065228684395277625
2024-06-03,600729.SH,0.254313275069019,0.01865790741152784,0.4370500564966284,0.007559278743979214,0.020955977716824337,-0.013396698972845122
2024-06-04,000001.SZ,-0.2610219401514664,0.014474555300927117,-0.11071091028750046,0.0005342362897742259,-0.006980625706230592,0.007514861996004818
2024-06-04,600710.SH,0.9923642925824897,0.011897448057789473,1.1499032830360842,0.0068896651327301495,0.005486906761301924,0.0014027583714282255
2024-06-04,600711.SH,-1.8264281713013197,-0.3077477862318504,-0.7723866537370563,-0.04068956722911121,-0.008798807524412311,-0.0318907597046989
2024-06-04,600712.SH,1.0680821989534621,-0.09895316318775316,1.536521657966341,0.00326647672693281,-0.005949804675409398,0.009216281402342208
2024-06-04,600713.SH,0.200623718529766,-0.051686272378515974,0.5364946843714061,-0.0031575061424462536,-0.01094473027119336,0.007787224128747106
2024-06-04,600714.SH,0.7093451564489639,0.04944980546735511,0.7615618091819432,0.008297923267813312,0.0013277747540687557,0.006970148513744556
2024-06-04,600715.SH,0.652980673860025,0.013883139401911104,0.8049504359407236,-0.00265068303638083,-0.02056351340676521,0.01791283037038438
2024-06-04,600716.SH,0.5339224916941093,-0.07984341660542005,0.9487652307634575,0.00326647672693281,-0.008798807524412311,0.01206528425134512
