date,n_names,frac_finite_apm_stat,n_finite_apm_stat,frac_finite_apm_cs,n_finite_apm_cs
2024-06-03,5125,0.9937560975609756,5093,0.9937560975609756,5093
2024-06-04,5125,0.9937560975609756,5093,0.9937560975609756,5093
2024-06-05,5125,0.9937560975609756,5093,0.9937560975609756,5093
2024-06-06,5125,0.9937560975609756,5093,0.9937560975609756,5093
2024-06-07,5125,0.9937560975609756,5093,0.9937560975609756,5093
2024-06-11,5125,0.9937560975609756,5093,0.9937560975609756,5093
2024-06-12,5125,0.9939512195121951,5094,0.9939512195121951,5094
2024-06-13,5125,0.9939512195121951,5094,0.9939512195121951,5094
2024-06-14,5125,0.9939512195121951,5094,0.9939512195121951,5094
2024-06-17,5125,0.9937560975609756,5093,0.9937560975609756,5093
2024-06-18,5125,0.9937560975609756,5093,0.9937560975609756,5093
2024-06-19,5125,0.9943414634146341,5096,0.9943414634146341,5096
2024-06-20,5125,0.9947317073170732,5098,0.9947317073170732,5098
2024-06-21,5125,0.9947317073170732,5098,0.9947317073170732,5098
2024-06-24,5125,0.9949268292682927,5099,0.9949268292682927,5099
2024-06-25,5125,0.9949268292682927,5099,0.9949268292682927,5099
2024-06-26,5125,0.9951219512195122,5100,0.9951219512195122,5100
2024-06-27,5125,0.9953170731707317,5101,0.9953170731707317,5101
2024-06-28,5125,0.9949268292682927,5099,0.9949268292682927,5099
