mode,rank_ic,abs_rank_ic,icir,abs_icir,ic_pos_frac,n_days
raw,0.023937280184579874,0.023937280184579874,4.100561967059522,4.100561967059522,0.6168455821635013,1211
size_neutral,0.02325708832496931,0.02325708832496931,4.18446194390152,4.18446194390152,0.629232039636664,1211
industry_neutral,0.02296692094445259,0.02296692094445259,6.247040608593855,6.247040608593855,0.6829066886870355,1211
size_industry_neutral,0.022476706988578152,0.022476706988578152,6.549096279040067,6.549096279040067,0.6820809248554913,1211
