Date,high,low,spread,original
2023-01-03,,,,
2023-01-04,-0.04571313765914196,0.0477847767636027,-0.05453175635719309,-0.02538617385940512
2023-01-05,-0.12179248365606911,-0.037841347933309386,-0.06897340750972454,-0.17290080445051859
2023-01-06,-0.15134413360507587,0.06749459226573896,-0.13485727870861916,-0.12820345655377696
2023-01-09,-0.045180450730792465,-0.017695188941666943,-0.02197796219051403,-0.07593881222488885
2023-01-10,0.07506816638020863,0.007592364648788644,0.053631908084638594,0.1026019749944389
2023-01-11,-0.11700768364571314,0.0677431779248437,-0.11118133408444555,-0.08300336426784626
2023-01-12,0.028482394180874834,0.07144278877644937,-0.010844107201766708,0.0836818355487869
2023-01-13,-0.13636066343282324,-0.01808391225098163,-0.08388921749834666,-0.17097732691809983
2023-01-16,-0.18235079301009746,0.01413826366962485,-0.13868112477876515,-0.2003789195732534
2023-01-17,0.01394028488925693,0.11589713923558781,-0.036288844064515456,0.08665302161934466
2023-01-18,-0.13837981691896303,0.005537197758613942,-0.11070495449511782,-0.12168836418244515
2023-01-19,-0.01768728234811141,0.09563066855493599,-0.05279178296998493,0.04313351994630593
2023-01-20,-0.20429984348427188,-0.15775999250107858,-0.09120789684835995,-0.2956336741369351
2023-01-30,-0.04553033031877018,-0.040467432025747894,-0.012206731424091465,-0.07008788740656773
2023-01-31,-0.05710763021600244,0.00915364150702259,-0.04651278381103685,-0.04966208999033758
2023-02-01,0.05229129335202605,-0.009737328343317524,0.04006789706495914,0.05069447899022884
2023-02-02,-0.12110616621795647,-0.010018630100752709,-0.08724911532127795,-0.13057323095522333
2023-02-03,0.09968366244831005,0.14280149977853893,0.005021777591028508,0.17682724974994052
2023-02-06,-0.032978436990695796,0.07103357510733613,-0.06877037536611678,0.031807620515756335
2023-02-07,-0.0005079902495525696,0.10729188092343009,-0.057372204313820924,0.06551210538742532
2023-02-08,-0.11906168394992742,0.0049583583486097265,-0.10146814173783451,-0.10511422948231652
2023-02-09,0.060108226126423865,0.0688195034014365,0.008867307891344274,0.1011806115040874
2023-02-10,-0.2195972755882161,-0.0005157770345540268,-0.17628439081632832,-0.19703203305598
2023-02-13,-0.07034756260133794,-0.05334901481353991,-0.027410747897013584,-0.09964224045134902
2023-02-14,-0.12426422201551363,0.011029702305920007,-0.10505203865875504,-0.10072151285443433
2023-02-15,0.17053358537094662,0.15412761648533987,0.05869261925280043,0.23898825063345347
2023-02-16,-0.25657580620312825,-0.16520910220905527,-0.12959841416228565,-0.29774118888713924
2023-02-17,-0.17288922941156679,-0.04258958132143434,-0.10713438107844508,-0.157477574124755
2023-02-20,0.01608531107809374,-0.04951482020141166,0.03455089404696845,-0.018537979464488135
2023-02-21,-0.08520440861814223,-0.026672536443161424,-0.05022327878456532,-0.09289370791215933
