factor_name,dimension,role,rank_ic_mean,icir,hl_sharpe,hl_annu_ret,hl_avg_turnover,universe_ic_min,universe_ic_max,monotonicity_score,ic_positive_ratio
upside_fragility_20d,D5,base,-0.055191942428451345,-6.879103396093935,2.737795717769966,0.4850955460437849,1.4188105266670135,0.037777923737524435,0.055191942428451345,0.2,0.29298486932599727
max_daily_return_20d,,,0.05845717149596583,6.134841743690673,1.862042212704013,0.38923442239470357,0.3963745823092792,0.03802551373030668,0.05845717149596583,0.8,0.6636863823933975
tail_risk_min_return_20d,,,0.03292467694386845,2.9080046604864114,0.5393149467008616,0.12392839996852614,0.40642296977726405,0.024409924954040572,0.03292467694386845,0.7,0.579092159559835
downside_tail_cluster_20d,,,0.012934797453966177,2.4760621981603306,0.7897078876677653,0.09334266064509217,0.35332199532343855,0.006132721208144964,0.012934797453966177,0.7,0.546767537826685
asymmetric_tail_ratio_20d,,,0.042070767624267924,4.921088745722933,2.1569176168912305,0.4065361786419855,0.8542819576467049,0.016499149281198524,0.042070767624267924,0.7,0.6354883081155434
tail_adjusted_momentum_60d,,,-0.03827162463917681,-3.78761644081636,1.993352101422848,0.4479592363356378,0.6644809578465428,0.005670256515276039,0.03827162463917681,0.1,0.40371389270976615
drawup_drawdown_ratio_20d,,,-0.038403726063481004,-4.626265830921371,1.9865179522985135,0.3687178016215603,0.8722371435718791,0.016445046094025688,0.038403726063481004,0.3,0.36795048143053644
high_low_20d,,,-0.06096872606116154,-4.715347398258524,1.3649798477233095,0.3761320847098422,0.3176204768061241,0.04551025466373681,0.06096872606116154,0.3,0.391334250343879
high_low_60d,,,-0.04967354524191998,-3.682017532168165,0.8372388102494606,0.2306566711127896,0.17053335987265142,0.043406074524186135,0.04967354524191998,0.2,0.4092159559834938
upper_shadow_pressure_20d,,,0.049642766118903704,3.7371788861859163,0.6637183261317919,0.1810730850688824,0.40053753372330103,0.04016101082078104,0.049642766118903704,0.6,0.5894085281980743
range_expansion_20d,,,0.03403631452857516,5.3632408964886364,3.4677630336009724,0.4777350806998606,3.1077145303760125,0.013254763566560305,0.03403631452857516,0.6,0.6636863823933975
range_contraction_20d,,,0.06021626169498577,5.683541250917786,2.0070743065006007,0.47328249478558,0.43412763949973276,0.041393387857550354,0.06021626169498577,0.8,0.6671251719394773
return_skew_shift_20d,,,0.000897540362832245,0.2047575516821191,0.2324730024702732,0.019662726803255978,0.6585063209783789,0.0007997622243390468,0.005747056988458961,0.5,0.4931224209078404
cn_amount_distribution_skew_20d,,,-0.007608040029826989,-2.260922040537987,2.0366248102898474,0.1633392643165644,0.9739130573857335,0.005846988221910333,0.008566911340247325,0.3,0.4298486932599725
