,0
1,-0.0023242751465182613
2,-0.0007624084405825003
3,-0.0003122194224582825
4,-7.550802993736851e-05
5,9.94771009072405e-05
6,0.00015814892486919023
7,0.0002803546846395905
8,0.0004161157150708377
9,0.0004277897367681629
10,0.0005400938446358814
