,sharpe
1,-2.5501696846480453
2,-0.8245022471687641
3,-0.3316528601302332
4,-0.08003309988658107
5,0.10514780866908022
6,0.1675254681292291
7,0.2987607040039348
8,0.4441366335341692
9,0.4593461353023908
10,0.5923688343336074
H-L,9.517307453335578
