label,universe,horizon,rank_ic,icir,ic_positive_ratio,mono,hl_annu_ret,hl_sharpe,hl_mdd,hl_turnover,implied_annu_fee,direction,g10_excess_annu,g10_excess_sharpe,g10_excess_mdd,max_group_or_hl_sharpe,pass_gt_gate,pass_gt_all_group_sharpes,pass_all,n_days,selected_count_mean,universe_count_mean,sharpe_g1,sharpe_g2,sharpe_g3,sharpe_g4,sharpe_g5,sharpe_g6,sharpe_g7,sharpe_g8,sharpe_g9,sharpe_g10,sharpe_gH-L,fig_decile,fig_cum
MA20_raw_ALL,ALL,1,0.04999241054499398,7.8737953472051565,0.7157894736842105,0.9999999999999999,0.743703732497526,6.5999956167994585,-0.14958323838161233,0.7023509780349099,0.1316908083815456,1,0.20563788673012937,2.9164529243100286,-0.11469423087647723,6.5999956167994585,False,False,False,950,460.9621451104101,4578.605678233438,-2.5130852560696098,-0.852396161508606,-0.30472232223616785,-0.09034149053838027,0.07399825293434706,0.21919614794573877,0.278917759484082,0.4300840120298741,0.5386775291020449,0.6995424565082051,6.5999956167994585,,
MA20_cap_ALL,ALL,1,0.05120945315257984,9.70532473244811,0.74,0.9999999999999999,0.7350161766402951,7.845961602399327,-0.04336862662676835,0.7054081674670919,0.13226403140007975,1,0.20153979657305612,4.126194787780039,-0.04404322379144706,7.845961602399327,True,False,False,950,460.7812828601472,4578.605678233438,-2.5554747716918675,-0.9180544035077137,-0.31213485256148976,-0.08747729115214616,0.07877307176120905,0.21232466501473193,0.2557121866214718,0.41144333934071786,0.5578999662937313,0.6648035995934682,7.845961602399327,,
MA20_ind_ALL,ALL,1,0.04742736522237964,10.245360084779515,0.7768421052631579,0.9999999999999999,0.7169312494133354,8.0134214592977,-0.12141836951600062,0.6992170366304323,0.13110319436820606,1,0.18853243038367726,3.5429040474721827,-0.09419515302116588,8.0134214592977,True,False,False,950,460.6498422712934,4578.605678233438,-2.4859087585248005,-0.7888611347667401,-0.3805861142162083,-0.052546208104973006,0.09991449281034617,0.20552596340679213,0.3153354810150246,0.40709144154048843,0.48454425937764,0.6119932896112893,8.0134214592977,,
MA20_ind_cap_ALL,ALL,1,0.04813177198826622,12.983195575225304,0.8,0.9999999999999999,0.7160922477885359,9.517307453335578,-0.042060393729000674,0.7013990770298585,0.13151232694309847,1,0.1848305068774381,4.980574365621376,-0.04120383595435833,9.517307453335578,True,False,False,950,460.52891692954785,4578.605678233438,-2.5501696846480453,-0.8245022471687641,-0.3316528601302332,-0.08003309988658107,0.10514780866908022,0.1675254681292291,0.2987607040039348,0.4441366335341692,0.4593461353023908,0.5923688343336074,9.517307453335578,research_delivery/TGD20_research_package/figures/mentor_protocol/MA20_ind_cap_ALL_decile_return.png,research_delivery/TGD20_research_package/figures/mentor_protocol/MA20_ind_cap_ALL_cumulative_long_short.png
MA20_ind_cap_HS300,HS300,1,0.03229645733014184,4.2896964844620555,0.62,0.9393939393939393,0.24767139801095572,2.0308649150281664,-0.18735978670801387,0.727223923376656,0.136354485633123,1,0.117940554810851,1.7693721550176058,-0.07425017125352401,2.0308649150281664,False,False,False,950,29.827549947423766,295.0042060988433,-0.8214185650210224,-0.8689111928204667,-0.33378559416993137,-0.29120563502668734,-0.3144978421614091,-0.0645103921090875,0.06376379653532563,0.485672249937177,0.2533561957975045,0.5044421200300678,2.0308649150281664,,
MA20_ind_cap_CSI500,CSI500,1,0.03354257273218589,5.9328241808984705,0.6473684210526316,0.9878787878787878,0.3478357205840349,3.581850056964307,-0.059093589646772436,0.7070708893146498,0.13257579174649683,1,0.12502046420449955,2.410330186746023,-0.0411227608079048,3.581850056964307,False,False,False,950,49.22818086225026,486.54679284963197,-1.271438087242271,-0.6753836830711527,-0.25533534016088477,-0.10139118617397669,-0.11247210254659189,-0.07361956728503795,0.13912985999321623,0.16585383882285523,0.19978515966870156,0.4423824429407837,3.581850056964307,,
MA20_ind_cap_CSI1000,CSI1000,1,0.043563139770535664,8.930415002857293,0.7231578947368421,0.9757575757575757,0.521156503727192,5.850484521749026,-0.03799297431478634,0.7114939715964355,0.13340511967433163,1,0.1363845682233204,2.843465549298143,-0.02979772271504676,5.850484521749026,False,False,False,950,96.83596214511041,960.2365930599369,-1.9778587727732777,-0.7337448756320819,-0.4893787015336141,-0.16016827211073836,-0.01450223660331442,-0.023448216237775977,0.24885123762826702,0.1296046065091808,0.2738596078662513,0.319092065871065,5.850484521749026,,
MA20_ind_cap_T1,ALL,1,0.04813177198826622,12.983195575225304,0.8,0.9999999999999999,0.7160922477885359,9.517307453335578,-0.042060393729000674,0.7013990770298585,0.13151232694309847,1,0.18483050687743793,4.980574365621371,-0.04120383595435833,9.517307453335578,True,False,False,950,460.52891692954785,4578.605678233438,-2.5501696846480453,-0.8245022471687641,-0.331652860130233,-0.08003309988658079,0.10514780866908024,0.1675254681292292,0.2987607040039348,0.4441366335341692,0.4593461353023908,0.5923688343336074,9.517307453335578,,
MA20_ind_cap_T5,ALL,5,0.06800911847725645,17.980030745059942,0.8826638477801269,0.9999999999999999,2.3905077396942014,15.363539458426747,-0.11928761745666541,0.701628839582768,0.131555407421769,1,0.6393075109058132,7.290700540576105,-0.15556509565478452,15.363539458426747,True,False,False,946,447.84752891692955,4385.672975814931,-4.287310429244968,-1.6023886835473027,-0.814320075843301,-0.3216851204563775,-0.05863556313282956,0.09171941988368487,0.27625311037489486,0.3731247180660137,0.5141524687776092,0.6946284103409031,15.363539458426747,,
MA20_ind_cap_T10,ALL,10,0.08005580983085205,20.378516212200566,0.89798087141339,0.9999999999999999,3.6795632953192396,19.699767252004936,-0.15988869168908693,0.7018263962620028,0.13159244929912553,1,1.0498368305293422,8.881075681306639,-0.19710859931755356,19.699767252004936,True,False,False,941,432.42691903259725,4175.668769716089,-5.436459467738378,-2.2946400744848883,-1.2775644082907471,-0.7120474635484638,-0.376952313919854,-0.13578919260794217,0.10596433274506407,0.2500517825165443,0.49375440770397566,0.639358770512008,19.699767252004936,,
MA20_ind_cap_T20,ALL,20,0.09042695156934644,22.52249358167172,0.916219119226638,0.9999999999999999,5.012650521517422,19.321369693988668,-0.24305675174959368,0.7022414829516863,0.1316702780534412,1,1.690478979027318,11.166290442677017,-0.25093267289152654,19.321369693988668,True,False,False,931,403.8801261829653,3815.5362776025236,-6.142082882519111,-2.921535904000832,-1.8973441709450254,-1.2744273790430847,-0.8273601348909814,-0.4697180560891105,-0.23805320544543793,-0.009375409956138397,0.30533768434471353,0.5249265984611945,19.321369693988668,,
MA10_none_raw,ALL,1,0.05222861842769264,9.093695233026112,0.7305263157894737,0.9999999999999999,0.8460683530231309,8.390757829554701,-0.11081061081795926,1.0589928855113722,0.19856116603338225,1,0.20658646894787178,3.676766661454052,-0.0752867789785844,8.390757829554701,True,False,False,950,468.2187171398528,4653.349106203996,-3.050033801294492,-0.8892805576133437,-0.2907291451234603,-0.11489939984415952,0.11849533845794377,0.24751672315888001,0.3316012663297957,0.4588945967757624,0.5435286740740392,0.6553643920732968,8.390757829554701,,
MA10_none_ind_cap,ALL,1,0.05027732090446319,14.878642024316038,0.8536842105263158,0.9999999999999999,0.817759221187194,11.408816506339601,-0.03805144939809163,1.052302173183291,0.19730665747186701,1,0.18929111737834242,5.974345169202675,-0.02423601727928791,11.408816506339601,True,False,False,950,467.86119873817034,4653.349106203996,-3.079427433941943,-0.799882918293082,-0.34569544716492295,-0.12112958888145203,0.1354125330989039,0.18738936491002195,0.32322472490782594,0.4766488485797451,0.4842014776344054,0.57489284404627,11.408816506339601,,
MA10_mad_tanh_raw,ALL,1,0.05222861842769264,9.093695233026112,0.7305263157894737,0.9999999999999999,0.8460683530231309,8.390757829554701,-0.11081061081795926,1.0589928855113722,0.19856116603338225,1,0.20658646894787178,3.676766661454052,-0.0752867789785844,8.390757829554701,True,False,False,950,468.2187171398528,4653.349106203996,-3.050033801294492,-0.8892805576133437,-0.2907291451234603,-0.11489939984415952,0.11849533845794377,0.24751672315888001,0.3316012663297957,0.4588945967757624,0.5435286740740392,0.6553643920732968,8.390757829554701,,
MA10_mad_tanh_ind_cap,ALL,1,0.05074877334545627,14.618084942105483,0.8515789473684211,0.9999999999999999,0.8161376334156566,11.628436619153767,-0.03789688969511444,1.0517364214685154,0.19720057902534666,1,0.19010070022222736,6.180542761913412,-0.021697867932491323,11.628436619153767,True,False,False,950,467.8685594111462,4653.349106203996,-3.058071688207431,-0.8253017244857048,-0.3658189990073127,-0.1250772512706594,0.1301626948836564,0.21066731849103976,0.34081688443050445,0.46407196766950953,0.5074300770759729,0.5797903562481742,11.628436619153767,,
MA10_mad_clip_raw,ALL,1,0.052214301597213526,9.091311660314368,0.7294736842105263,0.9999999999999999,0.8460683530231309,8.390757829554701,-0.11081061081795926,1.0589928855113722,0.19856116603338225,1,0.20658646894787178,3.676766661454052,-0.0752867789785844,8.390757829554701,True,False,False,950,468.2187171398528,4653.349106203996,-3.050033801294492,-0.8892805576133437,-0.2907291451234603,-0.11489939984415952,0.11849533845794377,0.24751672315888001,0.3316012663297957,0.4588945967757624,0.5435286740740392,0.6553643920732968,8.390757829554701,,
