Date,long_book_return,test_universe_ew_return,long_book_excess_return
2022-01-28,,,
2022-02-07,0.01610346259939449,0.014008673315659758,0.0020947892837347333
2022-02-08,0.018901214561361093,0.013429816841138462,0.005471397720222631
2022-02-09,0.008983422101987883,0.013983336146572305,-0.004999914044584422
2022-02-10,-0.0019742016456934077,-0.003577520745323038,0.0016033190996296303
2022-02-11,-0.01797880872973927,-0.020447697141369972,0.0024688884116307007
2022-02-14,-0.00438730881798366,2.0958549033465398e-05,-0.0044082673670171255
2022-02-15,0.001962984073851178,0.005900371797587556,-0.003937387723736378
2022-02-16,0.011636081839817932,0.01236541894173139,-0.0007293371019134586
2022-02-17,-0.003672453600526827,-0.0017924857787840823,-0.0018799678217427448
2022-02-18,0.00608300655357813,0.007066558216309584,-0.000983551662731454
2022-02-21,0.009993942747615187,0.012959045087068148,-0.0029651023394529612
2022-02-22,-0.010757193034373865,-0.011424807447076076,0.0006676144127022113
2022-02-23,0.01736180377988067,0.016992145763203046,0.00036965801667762296
2022-02-24,-0.020745283346871115,-0.023143020917197787,0.002397737570326672
2022-02-25,0.011197491542950836,0.01055094995565161,0.0006465415872992254
2022-02-28,-0.001095657729324021,0.0006201948991919563,-0.0017158526285159772
2022-03-01,0.006135008972355231,0.00806344533406461,-0.001928436361709379
2022-03-02,0.00261117291357173,0.0038587511378245344,-0.0012475782242528043
2022-03-03,-0.0013641208736600752,-0.002696426148016996,0.0013323052743569206
2022-03-04,-0.007207702336427783,-0.011050417703721695,0.0038427153672939123
2022-03-07,-0.014397131560375165,-0.015657514878741747,0.0012603833183665817
2022-03-08,-0.02835114867535314,-0.03171879395228345,0.0033676452769303075
2022-03-09,-0.019789484736004243,-0.014186095455919862,-0.005603389280084381
2022-03-10,0.016988955015877355,0.01762868966400548,-0.0006397346481281235
2022-03-11,0.007620437491700213,0.007508682194924665,0.00011175529677554842
2022-03-14,-0.024029408075675884,-0.026822905601928355,0.002793497526252471
2022-03-15,-0.04852864301212757,-0.05100126955443059,0.0024726265423030136
2022-03-16,0.028076898729347335,0.03050835249857642,-0.0024314537692290833
