date,n,cs_mean,cs_std,cs_mad,cs_iqr
2024-06-03,793,1.0024125901961434,0.011016404281969932,0.002833110341388445,0.006117523115925172
2024-06-04,793,1.001666720042805,0.010695388326253146,0.002942110261402897,0.006558569572927775
2024-06-05,792,1.0018133325254046,0.01312825416987622,0.002698001409341011,0.005847267852295834
2024-06-06,792,0.9997809149270982,0.013820351256295249,0.00375120882329838,0.007496463475901938
2024-06-07,791,0.9996307745814433,0.01339918519438947,0.0038395239585202745,0.007498449939904672
2024-06-11,789,0.998504349629896,0.013195601533382758,0.003865077597099087,0.00756337153491593
2024-06-12,794,0.9983134387626544,0.01627027994630192,0.003469893961641657,0.006949030731792871
2024-06-13,794,0.9985072467404024,0.014897712001576448,0.0032452503934000676,0.006402155376265428
2024-06-14,794,0.9990717440909139,0.01581653893950338,0.002787167614979824,0.00569593926234635
2024-06-17,794,1.0001502767464752,0.015250857704490889,0.002365287338296551,0.004725432712925581
2024-06-18,792,1.000046774600583,0.01399856453644062,0.0020029306651351275,0.004094334376335329
2024-06-19,793,1.0003345038517713,0.01204476397021172,0.002140617780791443,0.004252428009437592
2024-06-20,793,1.0010696958952214,0.008451637973084276,0.002142836451158092,0.0043606462850490635
2024-06-21,793,1.0007773300602945,0.008646043755317153,0.002068676279948556,0.004114463656408329
2024-06-24,792,0.9999771883165334,0.009543010688255759,0.0023162292676892626,0.00468390698287402
2024-06-25,792,0.9993093513056482,0.010285792706863826,0.002726851852871026,0.005441026626221479
2024-06-26,792,0.9984993839320087,0.009777118545829811,0.003020833708703541,0.006042864099021994
2024-06-27,789,0.9989894938192309,0.009575425422129606,0.002822692852572972,0.005602153905495011
2024-06-28,788,0.9990372582240382,0.007963037115760291,0.0028206629394474936,0.005730270971039286
