date,symbol,prev_close,open,pm_first_time,pm_last_time,pm_first_close,pm_last_close,pm_return
2024-06-03,000001.SZ,11.11,11.12,13:01:00,15:00:00,10.93,10.98,0.0045745654162854255
2024-06-03,600722.SH,4.27,4.26,13:01:00,15:00:00,4.16,4.179999,0.004807451923076744
2024-06-03,600730.SH,4.57,4.6,13:01:00,15:00:00,4.46,4.48,0.004484304932735439
2024-06-03,600729.SH,26.84,27.02,13:01:00,15:00:00,26.69,26.92,0.008617459722742637
2024-06-03,600728.SH,4.03,4.05,13:01:00,15:00:00,3.94,3.94,0.0
2024-06-03,600727.SH,7.03,6.99,13:01:00,15:00:00,6.87,6.92,0.00727802037845704
2024-06-03,600726.SH,2.22,2.21,13:01:00,15:00:00,2.14,2.15,0.004672897196261516
2024-06-03,600725.SH,2.99,2.96,13:01:00,15:00:00,2.94,2.95,0.003401360544217802
2024-06-03,600724.SH,4.18,4.18,13:01:00,15:00:00,4.08,4.08,0.0
2024-06-03,600721.SH,5.83,5.83,13:01:00,15:00:00,5.64,5.65,0.0017730496453902678
2024-06-03,600732.SH,11.65,11.59,13:01:00,15:00:00,11.39,11.51,0.010535557506584636
2024-06-03,600720.SH,9.75,9.75,13:01:00,15:00:00,9.59,9.56,-0.0031282586027110426
2024-06-03,600719.SH,9.5,9.2,13:01:00,15:00:00,8.72,8.66,-0.006880733944954143
2024-06-03,600718.SH,8.18,8.18,13:01:00,15:00:00,8.039999,7.96,-0.00995012561568731
2024-06-03,600717.SH,4.43,4.41,13:01:00,15:00:00,4.34,4.38,0.009216589861751112
2024-06-03,600716.SH,2.91,2.92,13:01:00,15:00:00,2.82,2.84,0.007092198581560183
2024-06-03,600715.SH,1.78,1.75,13:01:00,15:00:00,1.69,1.69,0.0
2024-06-03,600714.SH,8.37,8.41,13:01:00,15:00:00,7.99,7.95,-0.005006257822277815
2024-06-03,600731.SH,5.29,5.26,13:01:00,15:00:00,5.02,5.05,0.005976095617529875
2024-06-03,600733.SH,7.39,7.53,13:01:00,15:00:00,7.2,7.18,-0.002777777777777879
2024-06-04,000001.SZ,10.98,10.95,13:01:00,15:00:00,11.0,11.02,0.0018181818181817189
2024-06-04,600722.SH,4.18,4.15,13:01:00,15:00:00,4.09,4.099999,0.002444743276283745
2024-06-04,600730.SH,4.48,4.45,13:01:00,15:00:00,4.39,4.41,0.004555808656036442
2024-06-04,600729.SH,26.92,26.9,13:01:00,15:00:00,27.43,27.48,0.0018228217280349401
2024-06-04,600728.SH,3.94,3.91,13:01:00,15:00:00,3.89,3.93,0.010282776349614497
2024-06-04,600727.SH,6.92,6.9,13:01:00,15:00:00,6.83,6.92,0.013177159590043841
2024-06-04,600726.SH,2.15,2.15,13:01:00,15:00:00,2.19,2.24,0.022831050228310668
2024-06-04,600725.SH,2.95,2.95,13:01:00,15:00:00,2.96,2.95,-0.0033783783783782884
2024-06-04,600724.SH,4.08,4.09,13:01:00,15:00:00,4.059999,4.11,0.012315520274758684
2024-06-04,600721.SH,5.65,5.69,13:01:00,15:00:00,5.56,5.6,0.007194244604316502
2024-06-04,600732.SH,11.51,11.47,13:01:00,15:00:00,11.44,11.52,0.006993006993007089
2024-06-04,600720.SH,9.56,9.61,13:01:00,15:00:00,9.83,9.95,0.012207527975584886
2024-06-04,600719.SH,8.66,8.68,13:01:00,15:00:00,8.82,9.29,0.053287981859410305
2024-06-04,600718.SH,7.96,8.04,13:01:00,15:00:00,7.91,8.02,0.013906447534766109
2024-06-04,600717.SH,4.38,4.37,13:01:00,15:00:00,4.4,4.43,0.006818181818181612
2024-06-04,600716.SH,2.84,2.84,13:01:00,15:00:00,2.83,2.83,0.0
2024-06-04,600715.SH,1.69,1.68,13:01:00,15:00:00,1.7,1.68,-0.0117647058823529
