Date,high,low,spread,original
2023-01-03,,,,
2023-01-04,-0.0885214979799974,-0.12353242431221491,-0.02119780659574445,-0.11161396992571798
2023-01-05,-0.0456670050289378,0.047162178039167925,-0.11329844091564725,-0.009647034387676959
2023-01-06,-0.16841640109446715,-0.050387310276236025,-0.21169495442885294,-0.12789678458646947
2023-01-09,-0.002141212924488758,-0.008027989595594726,0.004627003536723149,5.9028024457847956e-05
2023-01-10,0.01971155670500862,0.08681126198510146,-0.04844588030751284,0.0472903046889356
2023-01-11,-0.19486371829169785,-0.24329675941355305,-0.049659775405412325,-0.2431802536398154
2023-01-12,-0.18292584555467709,-0.055214076191970676,-0.1734547077416784,-0.13436303142063313
2023-01-13,-0.13248756478384469,-0.2281915595814207,0.03548210917325746,-0.19648257185992035
2023-01-16,-0.10139357694927252,-0.06208201377009372,-0.08031234257457735,-0.09980140842379495
2023-01-17,-0.18319010031787183,-0.03667952836135199,-0.18400225646343538,-0.12950760373565812
2023-01-18,-0.22071111447529515,-0.12279090929877165,-0.1731513351734689,-0.20342431893246732
2023-01-19,-0.16510498797608628,-0.06950080188066618,-0.12687717179616914,-0.14588469957374106
2023-01-20,-0.06821394019178062,-0.08924663089066957,-0.014285992861594682,-0.09011059102331843
2023-01-30,0.039326534304603575,0.07520655201321468,-0.011889572953057224,0.05525128465121045
2023-01-31,-0.13564943371259677,-0.1298107075331762,-0.05282799031335024,-0.16270538694835002
2023-02-01,0.01351207325362099,0.05731401482389227,-0.01529096791928632,0.039603905334200835
2023-02-02,0.01374794041416775,0.051055731776439635,-0.018656642398364617,0.03314258217263002
2023-02-03,0.00860167078876599,0.03842059036061998,-0.020173830429881474,0.02592550273409886
2023-02-06,-0.17639912284028345,-0.16325205306128412,-0.0672446249385597,-0.19185386974904522
2023-02-07,-0.1454431768386263,-0.10931079195538407,-0.060942240844286635,-0.1568276518000053
2023-02-08,-0.16138367312860413,-0.033325093853872265,-0.15698020177550134,-0.11476000583558274
2023-02-09,0.018157529245538977,0.0749199563694664,-0.04044449539571208,0.0477787021037459
2023-02-10,-0.23841511529309298,-0.2547975036577315,-0.0952721315396659,-0.26041381081766013
2023-02-13,0.022048101269572257,0.04503885334764259,-0.009447769924988957,0.03127580575860315
2023-02-14,-0.22004908872278334,-0.164606256943737,-0.1422335028950217,-0.23027753777181323
2023-02-15,0.0913227450854972,0.0569324684517474,0.058716584751086084,0.08788719957862266
2023-02-16,-0.2449932239690965,-0.17886489692397667,-0.15783627023906166,-0.24140480160509614
2023-02-17,-0.31592380525504316,-0.26884589885076154,-0.17228476036882642,-0.33204154039543443
2023-02-20,0.050426346855749524,-0.012488184684247,0.0822276870491369,0.038882561996403824
2023-02-21,-0.21018009147309902,-0.13175303896395937,-0.14945836401476648,-0.20770092861562328
2023-02-22,-0.03799889179548249,-0.03758465726118258,-0.009716244617949538,-0.03146466625231459
2023-02-23,-0.20071053445662312,-0.05110262975164035,-0.19371451402825873,-0.1800979941600148
2023-02-24,-0.05292893767618318,-0.07053643796800142,-0.016138471754716475,-0.05376537852243538
2023-02-27,-0.16600886771055318,-0.11898918768514222,-0.1275479317476615,-0.16388628496023172
2023-02-28,-0.06600627956396989,-0.05194783247031519,-0.03701718310855498,-0.07309436226090693
2023-03-01,0.08641562429635255,0.06722717970949861,0.09086540523813409,0.07939659191483875
