name,rank_ic,icir,n_days
Amp20,-0.059639755660610826,-4.438342316479948,726
V_high,-0.06695190182917025,-6.338209194678649,726
V_low,-0.034529818098716816,-2.545988485252354,726
V (spread),-0.055002213747943146,-7.412262785219834,726
