signal,category,rank_ic,icir,hl_sharpe,net_sharpe,monotonicity,daily_turnover
Gu_MA20,primitive_family,0.044692344592101,4.250119027194734,0.9008177911693896,0.4057397726359354,0.7333333333333332,0.358654038728658
Gd_MA20,primitive_family,0.0443702502189437,4.161733344232887,0.9787723467752568,0.4612910329303129,0.9272727272727272,0.3192054728752255
tau_MA20,primitive_family,-0.0040645753586695,-0.555589277035849,0.2736633315385077,-1.920487917748589,0.3333333333333332,0.8079825154268068
upsilon_MA20,primitive_family,-0.0178373633150012,-2.2607361107542987,0.5773224226748905,-1.220707351225086,-0.8787878787878788,0.5655590172904874
TGD20,primitive_family,0.0430099245704536,6.979512239654615,2.768625587644666,1.5832471310806424,0.9878787878787878,0.64709891384379
epsilon_u,mechanism_residual,0.0107276075354427,1.6206086632519268,2.581331977325656,-8.607856900379527,-0.6,3.1282552447570584
epsilon_d,mechanism_residual,0.0370772075411554,5.799341032993288,1.0543263912306262,-7.363364818943545,0.7454545454545454,3.120153513151307
tgd_eps,mechanism_residual,0.0474090994405448,8.52993303048529,4.3302499787228745,-4.653794957049153,0.9272727272727272,3.4450144004360124
epsilon_u_MA20,mechanism_residual,0.0370014008714798,3.785230433560288,0.8196916360550706,0.0151292861807495,0.9515151515151514,0.3465552543845346
epsilon_d_MA20,mechanism_residual,0.0458173549851405,4.738189704984828,1.3851767063053964,0.7504173606734079,0.9151515151515152,0.3373042824094949
