universe,rank_ic,icir,n_days
ALL,-0.03769600067347499,-6.5826657398660435,726
CSI300,-0.03271315491729966,-3.7367632933008035,726
CSI500,-0.02632869048868134,-3.5013529227907894,726
CSI1000,-0.03518706697374933,-5.429702156631513,726
