Date,rank_ic
2023-01-03,
2023-01-04,-0.03720635088988006
2023-01-05,-0.06612157424659917
2023-01-06,-0.12429929776549849
2023-01-09,-0.03121282910983278
2023-01-10,0.05998952458296591
2023-01-11,-0.09928337005852557
2023-01-12,-0.0012072826718558828
2023-01-13,-0.061297099285125826
2023-01-16,-0.13471974144443466
2023-01-17,-0.027531744683601745
2023-01-18,-0.09423215656453329
2023-01-19,-0.03014277783322049
2023-01-20,-0.0906009443390605
2023-01-30,-0.024225645423537074
2023-01-31,-0.03690306729906889
2023-02-01,0.03463108264994001
2023-02-02,-0.07815550955033496
2023-02-03,-0.0015132966421312374
2023-02-06,-0.049971731473521054
2023-02-07,-0.045052480108033616
2023-02-08,-0.065626957073535
2023-02-09,0.01431547015402746
2023-02-10,-0.1454228862937099
2023-02-13,-0.03482985437995501
2023-02-14,-0.08662509211016353
2023-02-15,0.05563904822793872
2023-02-16,-0.08252346429451053
2023-02-17,-0.08358846186503738
2023-02-20,0.07649533656864071
2023-02-21,-0.03362720460485087
2023-02-22,-0.01974789920152899
2023-02-23,-0.06623321911055396
2023-02-24,-0.02765409055989771
2023-02-27,-0.02666232903701752
2023-02-28,-0.034667111365761866
2023-03-01,0.035361383681204644
2023-03-02,0.03978467001423379
2023-03-03,-0.08280691056576309
2023-03-06,-0.08615302869047653
2023-03-07,-0.02759434672952285
2023-03-08,0.006725801800539042
2023-03-09,-0.10391083632921003
2023-03-10,-0.04858993944314152
2023-03-13,0.15587940687025442
2023-03-14,0.01554284060733289
2023-03-15,-0.11742522316828151
2023-03-16,0.056116957221795556
2023-03-17,0.08554143626988735
2023-03-20,-0.05183903013980488
2023-03-21,-0.17557376185684656
2023-03-22,0.021844873260361674
2023-03-23,0.08994894398346337
2023-03-24,-0.03043093145315769
2023-03-27,-0.039882208720661394
2023-03-28,-0.053044615793063764
2023-03-29,0.024346121032697524
2023-03-30,-0.10062624697184572
2023-03-31,-0.009113327662121867
2023-04-03,0.1530665648359095
2023-04-04,0.1256526990146647
2023-04-06,-0.06241783587785378
2023-04-07,-0.041679690051174265
2023-04-10,-0.09993726106958005
2023-04-11,0.11058883105730677
2023-04-12,0.07989655837888338
2023-04-13,-0.08277071102295472
2023-04-14,-0.029916581125611866
2023-04-17,-0.17916251062587474
2023-04-18,-0.017387868568978143
2023-04-19,0.0983427553339972
2023-04-20,0.1475379892468519
2023-04-21,-0.08351939005937134
2023-04-24,-0.05918038964901275
2023-04-25,0.01356115724308513
2023-04-26,-0.16500839072629728
2023-04-27,-0.0787501464576309
2023-04-28,-0.030949535649727113
2023-05-04,-0.027526508595099072
2023-05-05,-0.05580253861813231
2023-05-08,-0.04570850867596321
2023-05-09,-0.05083966289423881
2023-05-10,-0.09028353820839786
2023-05-11,-0.08494803168551339
2023-05-12,-0.02463819144119293
2023-05-15,-0.04118090666462507
2023-05-16,-0.06192720498411782
2023-05-17,-0.14790993738872638
2023-05-18,-0.05168917643545488
2023-05-19,-0.1957115348546583
2023-05-22,-0.13874087029636062
2023-05-23,-0.1480299918573108
2023-05-24,-0.0837699094801528
2023-05-25,0.04803758914046379
2023-05-26,-0.0026586945703973206
2023-05-29,-0.053792026335348825
2023-05-30,0.04836305902482037
2023-05-31,-0.009947577295522507
2023-06-01,-0.06950142431754736
2023-06-02,-0.1378784249951185
2023-06-05,0.013081737370288699
2023-06-06,-0.08306287124205977
2023-06-07,0.014925503355647794
2023-06-08,-0.07972297399995079
2023-06-09,0.06892502914076248
2023-06-12,-0.019161332375868662
2023-06-13,0.06175544712616084
2023-06-14,-0.05313355801845387
2023-06-15,-0.05886960906819405
2023-06-16,-0.04585997627541724
2023-06-19,0.05849073799026353
2023-06-20,0.009313123261461583
2023-06-21,-0.10332311968557135
2023-06-26,-0.1281405898005992
2023-06-27,-0.12188188994631324
2023-06-28,-0.10978458869724864
2023-06-29,-0.05240404168999904
2023-06-30,-0.07095413579413583
2023-07-03,-0.08681250403588288
2023-07-04,0.020174130523054685
2023-07-05,-0.1034932914183038
2023-07-06,0.03814633023714302
2023-07-07,-0.130885425535543
2023-07-10,-0.045611175943510905
2023-07-11,0.012426740423677503
2023-07-12,0.025064817904145026
2023-07-13,-0.08739870535611848
2023-07-14,-0.14358617679478416
2023-07-17,-0.02603724047770386
2023-07-18,-0.0030410239045341406
2023-07-19,-0.1254199901398133
2023-07-20,-0.040591522320893546
2023-07-21,-0.05324963085278975
2023-07-24,-0.07917796160886426
2023-07-25,-0.03695672236412119
2023-07-26,-0.01397010862702103
2023-07-27,-0.04931072285713479
2023-07-28,0.030533481453828403
2023-07-31,0.06783004297703414
2023-08-01,-0.05027859391335864
2023-08-02,-0.036171125640246944
2023-08-03,0.06388041937140045
2023-08-04,-0.07562921517923303
2023-08-07,-0.02666619667419902
2023-08-08,-0.0914905154727856
2023-08-09,-0.00827506369756749
2023-08-10,-0.06556238079094936
2023-08-11,-0.1419061384684763
2023-08-14,-0.07342467038480353
2023-08-15,0.010195530428674618
2023-08-16,0.16208122631200042
2023-08-17,-0.17850110477338343
2023-08-18,-0.14267094120075613
2023-08-21,-0.05391017281089545
2023-08-22,0.06820686569804175
2023-08-23,-0.019545078171210695
2023-08-24,-0.04253623333455149
2023-08-25,-0.0573284143589837
2023-08-28,-0.007342275693758598
2023-08-29,-0.0207030694015068
2023-08-30,-0.0028777362875155644
2023-08-31,-0.04344872521351391
2023-09-01,-0.10021490071960415
2023-09-04,-0.1430569874407301
2023-09-05,-0.13880455945309375
2023-09-06,-0.030089685562102723
2023-09-07,0.024086933972312135
2023-09-08,-0.02358658592933495
2023-09-11,-0.1490058797400985
2023-09-12,-0.0871108162106516
2023-09-13,-0.001580562985418365
2023-09-14,-0.024423360611616776
2023-09-15,-0.05184848729903096
2023-09-18,-0.029798842360928685
2023-09-19,-0.03852382661318589
2023-09-20,-0.04606225218645079
2023-09-21,0.021093275248871692
2023-09-22,0.018753818619506715
2023-09-25,0.0650509953404713
2023-09-26,-0.0195009216593782
2023-09-27,-0.051926117144401526
2023-09-28,0.0013403908463614565
2023-10-09,0.08225243652129031
2023-10-10,-0.0009258017602869429
2023-10-11,0.04043629478515545
2023-10-12,-0.006708057283257297
2023-10-13,0.20502422349360694
2023-10-16,-0.09827967673052865
2023-10-17,-0.13806607185534103
2023-10-18,-0.02631972724266729
2023-10-19,-0.15235192325991584
2023-10-20,-0.16613800426109945
2023-10-23,-0.01108913170922603
2023-10-24,-0.009031909309380842
2023-10-25,-0.05343923397860124
2023-10-26,0.02582696427384875
2023-10-27,-0.09631409504122912
2023-10-30,0.06843499841243983
2023-10-31,-0.02846459173956469
2023-11-01,-0.10150760164868157
2023-11-02,-0.08280905674395582
2023-11-03,-0.045623211782359285
2023-11-06,0.07204325946108364
2023-11-07,0.05725777765752879
2023-11-08,0.027948255175568443
2023-11-09,-0.15937315277488495
2023-11-10,-0.018833906132628378
2023-11-13,-0.045287765247181824
2023-11-14,0.03146962879512762
2023-11-15,-0.12596629509637425
2023-11-16,-0.02429349705293945
2023-11-17,0.004200059173891435
2023-11-20,-0.0017054501108284593
2023-11-21,-0.041953255872195575
2023-11-22,-0.017885100338015908
2023-11-23,-0.008971664260393326
2023-11-24,-0.050353725043082734
2023-11-27,0.009605322098552823
2023-11-28,-0.05182959394274965
2023-11-29,-0.03142716336766335
2023-11-30,-0.03625732912423571
2023-12-01,0.002312127890240217
2023-12-04,0.029295690338543977
2023-12-05,-0.05760400673904657
2023-12-06,-0.015602170726943074
2023-12-07,0.04058475215124341
2023-12-08,-0.025246867084082233
2023-12-11,0.035643432731982685
2023-12-12,-0.01454006471535907
2023-12-13,-0.022034507989409792
2023-12-14,-0.06950196367640253
2023-12-15,-0.0494182937267498
2023-12-18,0.08116956950862687
2023-12-19,-0.11829113298945301
2023-12-20,-0.06290530023170182
2023-12-21,-0.06397831715043194
2023-12-22,-0.07138612107911664
2023-12-25,0.009251648227174404
2023-12-26,0.018193618304471297
2023-12-27,-0.04573560405090679
2023-12-28,-0.17507512048091142
2023-12-29,-0.062242913187356606
2024-01-02,-0.05428187540891345
2024-01-03,0.02844821713486715
2024-01-04,-0.11991399704415441
2024-01-05,-0.05093378688255514
2024-01-08,0.0053589678746169735
2024-01-09,0.03377663313792082
2024-01-10,0.029643323351730057
2024-01-11,-0.060730112967174274
2024-01-12,0.05154590537900314
2024-01-15,-0.05437343316073654
2024-01-16,0.1122859416424409
2024-01-17,-0.07193933871030518
2024-01-18,0.025636518509838977
2024-01-19,-0.11555656882151491
2024-01-22,0.028458755377656755
2024-01-23,-0.03770677781575787
2024-01-24,-0.06613563370034177
2024-01-25,0.023714417360652384
2024-01-26,0.014556415080352152
2024-01-29,-0.06483230460796104
2024-01-30,-0.043951872177065116
2024-01-31,-0.04483169868787685
2024-02-01,-0.07108637524592012
2024-02-02,0.011122628430601314
2024-02-05,-0.0849012413503765
2024-02-06,-0.008259316704358902
2024-02-07,-0.0769662486941654
2024-02-08,0.13306667540550776
2024-02-19,0.23170145964329555
2024-02-20,0.16142270391717725
2024-02-21,0.10835863599075388
2024-02-22,0.2974607278333083
2024-02-23,0.33350367973525613
2024-02-26,0.24837991508830942
2024-02-27,0.16679539459652531
2024-02-28,-0.4996314641642456
2024-02-29,0.21619103026422845
2024-03-01,0.1942165274096217
2024-03-04,0.023543454039236827
2024-03-05,-0.26689037896496354
2024-03-06,0.21193729776623094
2024-03-07,0.13458170922647275
2024-03-08,-0.024742529985514926
2024-03-11,-0.012535353780143163
2024-03-12,0.04419678187123941
2024-03-13,-0.1069788580785316
2024-03-14,0.0969949926692419
2024-03-15,-0.03704369061248339
2024-03-18,-0.092927084984698
2024-03-19,-0.10466787629089801
2024-03-20,-0.09224759989458539
2024-03-21,-0.03746085210475156
2024-03-22,0.008260149301948651
2024-03-25,-0.0024091953873638904
2024-03-26,-0.025877829969891915
2024-03-27,-0.05963479508789057
2024-03-28,0.07780144155528021
2024-03-29,-0.02717047345345098
2024-04-01,-0.007080467613025114
2024-04-02,-0.022708723021624997
2024-04-03,-0.09515372765118132
2024-04-08,-0.023616550360020666
2024-04-09,0.019955960672841257
2024-04-10,-0.029460917658953766
2024-04-11,-0.0502788276780392
2024-04-12,-0.0505829107560347
2024-04-15,-0.06369542741667748
2024-04-16,-0.06970308410690736
2024-04-17,0.12759220507934751
2024-04-18,0.012426942698986703
2024-04-19,0.06948615831041882
2024-04-22,-0.08367472333077701
2024-04-23,-0.152716607753761
2024-04-24,-0.17919573607102038
2024-04-25,-0.0856708437324839
2024-04-26,-0.11037426303524538
2024-04-29,-0.16375601228632097
2024-04-30,-0.009253428445781952
2024-05-06,0.01019724511793774
2024-05-07,-0.08530874163850358
2024-05-08,0.025108784840532996
2024-05-09,-0.0420079974127881
2024-05-10,0.10323999913984323
2024-05-13,0.16735382082308864
2024-05-14,-0.14069623126708852
2024-05-15,-0.02234473631425946
2024-05-16,-0.05966811784927223
2024-05-17,0.015327176477608012
2024-05-20,-0.06802436495972042
2024-05-21,0.06649129795616895
2024-05-22,-0.017225272975830607
2024-05-23,0.003027255641535747
2024-05-24,-0.0999140680062382
2024-05-27,-0.030892257992730248
2024-05-28,-0.04934828392656452
2024-05-29,0.0019870037426249474
2024-05-30,-0.11818184356441447
2024-05-31,-0.17403281492331907
2024-06-03,0.05289273357703013
2024-06-04,0.09223586315120837
2024-06-05,-0.04867143272861249
2024-06-06,0.05863667541496839
2024-06-07,-0.091994028562052
2024-06-11,-0.01796449374474217
2024-06-12,-0.02101288765936791
2024-06-13,0.008224331038993808
2024-06-14,0.006651670524028213
2024-06-17,0.10429438978535152
2024-06-18,-0.15298757594054946
2024-06-19,-0.1089992745337598
2024-06-20,0.08720512187083215
2024-06-21,-0.030672623359087887
2024-06-24,0.10255971272673617
2024-06-25,-0.15145939533223285
2024-06-26,-0.0968732031472087
2024-06-27,-0.027811667039159407
2024-06-28,-0.015044158057829327
2024-07-01,-0.14033910630694055
2024-07-02,-0.09363983504885669
